Samp,Directory,File,State,Country,RANGE,Year,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,PcoaYR,SampleN,lat,lon,H_C,N_S,Heterozygosity,K2Q1S1964,K2Q2S1964,K3Q1S1964,K3Q2S1964,K3Q3S1964,K4Q1S1964,K4Q2S1964,K4Q3S1964,K4Q4S1964,MaxK3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,Region,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13,PC1_TE,PC2_TE,PC3_TE,PC4_TE,PC5_TE
TRHS346,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS346_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,2013,1998-Present,2013_TRHS346,1998-Present,1998-Present_South,2013_South,363,29.586481,-90.710909,H,S,0.001635109,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.041160495,0.0662905,-0.032821822,-0.017277359,0.020252264,0.006969306,0.010539405,0.003335097,-0.005704519,-0.020850661,12418903,0,25.4961,18,50.9922,32,38.2391,66,South,1.45E-06,5.31E-06,0,0.5,0,0,0,-12.4372818,17.83717325,-10.8850785,-1.911099262,10.35156352
TRHS351,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS351_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1941,1918-1957,1941_TRHS351,1918-1957,1918-1957_South,1941_South,65,29.586868,-90.707441,H,S,0.002210697,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.044599061,0.065111969,-0.030906681,-0.015727888,0.015069544,-0.015880501,0.02048109,0.004783206,-0.014878179,-0.004489714,23493623,0,38.9657,32,25.436,28,23.3655,52,South,1.36E-06,2.21E-06,0,0,0,0,0,-12.84094818,37.14238104,-10.21320253,3.691932796,9.169798208
TRHS240,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS240_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1987,1958-1997,1987_TRHS240,1958-1997,1958-1997_South,1987_South,189,29.67745858,-90.0977654,H,S,0.003292063,0.020170972,0.979829028,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.012160018,0.98783998,1.00E+00,0.036133656,0.06887453,-0.017994991,-0.035129042,0.044540647,-0.006888532,0.014459764,-0.011814021,0.009393836,0.026108341,23289100,0,28.8034,14,63.0788,36,84.7356,118,South,6.01E-07,5.07E-06,0,0,0.5,0,0,88.85120487,-3.42841195,-7.278563681,1.161345507,-4.649408522
TRHS200,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS200_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1981,1958-1997,1981_TRHS200,1958-1997,1958-1997_South,1981_South,188,29.67745858,-90.0977654,H,S,0.002487029,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.041627497,0.068688229,-0.036403554,-0.022847195,0.023197658,-0.020386731,0.01614632,0.003357224,-0.019169247,-0.009966454,24317524,0,74.2634,56,55.5021,46,62.7507,111,South,2.30E-06,4.56E-06,0,0,0,0,0,42.72083344,14.47201341,-3.2642711,3.483733252,-2.666671675
TRH4_83,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_83_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,2014,1998-Present,2014_TRH4_83,1998-Present,1998-Present_South,2014_South,364,29.67745858,-90.0977654,H,S,0.003517067,0.460575383,0.539424617,0.20912316,0.442548162,0.348328678,0.454480963,0.158152086,0.266758297,0.120608654,4.43E-01,0.001192883,-0.004583645,0.068941314,-0.019807464,-0.00406027,0.118311528,0.050513804,-0.007820119,0.039283058,-0.051030604,23801148,0,95.2495,39,80.0962,35,100,201,South,1.64E-06,8.44E-06,0,0.5,0,0,1,111.9919884,-22.94277212,-9.970034655,-1.863128343,-6.364196954
TRH4_82,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_82_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1960,1958-1997,1960_TRH4_82,1958-1997,1958-1997_South,1960_South,186,29.67745858,-90.0977654,H,S,0.001879104,0.25103206,0.74896794,0.000410877,0.880347567,0.119241556,0.863442489,0.096625187,0.039932322,1.00E-09,8.80E-01,0.020603322,-0.037598396,0.005281319,-0.000558618,-0.006419171,0.020304948,0.005791318,-0.006026889,0.005471044,-0.035025586,12809209,0,0,0,0,0,2.94347,12,South,0,9.37E-07,0,0.5,0,0,0,-31.89794436,14.0144368,-17.15849466,-4.464751568,-16.32560453
TRH4_76,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_76_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,1975,1958-1997,1975_TRH4_76,1958-1997,1958-1997_South,1975_South,187,29.67745858,-90.0977654,H,S,0.004713277,0.151583951,0.848416049,0.041372033,0.924689301,0.033938666,0.886591866,0.056315897,1.00E-09,0.057092236,9.25E-01,0.030272528,-0.035828986,-0.029216014,0.010207171,-0.033000493,0.056318092,-0.015220729,-0.027340936,-0.030491247,-0.015172847,37561977,0,47.0836,30,34.7565,22,40.5835,72,South,7.99E-07,1.92E-06,0,0.5,0,0,0,80.33453191,19.62382416,8.730888074,-4.60061111,18.25762033
TRHS216,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS216_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1975,1958-1997,1975_TRHS216,1958-1997,1958-1997_South,1975_South,190,29.75649985,-91.76305555,H,S,0.002824664,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.038631446,0.068704961,-0.036985592,-0.034417216,0.021093867,0.025782886,0.000674822,-0.013927679,-0.00834897,-0.018278242,24085861,0,58.9296,49,70.7156,65,72.1803,147,South,2.03E-06,6.10E-06,0,0.5,0,0,0,52.15961228,14.29822724,0.756689845,-2.227744966,0.149830371
TRHS426,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS426_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1960,1958-1997,1960_TRHS426,1958-1997,1958-1997_South,1960_South,191,29.7589382,-95.3676974,H,S,0.003168147,0.2409342,0.7590658,0.580385264,0.25623385,0.163380886,0.270897297,0.004962679,0.239208514,0.484931509,5.80E-01,0.018509149,0.029962533,0.005542389,0.000742876,-0.037179289,-0.015196409,-0.01180073,0.007970909,-0.009105416,0.003827448,17872400,0,42.6338,14,43.4756,16,22.7403,24,South,7.83E-07,1.34E-06,0,0,0,0.5,0,64.67273706,2.270498933,-2.82031914,-1.130786879,-5.624878389
TRHS173,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS173_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1964,1958-1997,1964_TRHS173,1958-1997,1958-1997_South,1964_South,192,29.80938932,-92.30428295,H,S,0.003177392,0.08202585,0.91797415,0.659005488,0.303765617,0.037228895,0.259652153,0.060558151,1.00E-09,0.679789695,6.59E-01,0.033808598,0.031702875,-0.028786206,-0.020972827,0.000413519,0.025308989,-0.002067052,-0.006753619,-0.025712079,-0.019160284,25526957,0,68.19,42,67.288,50,69.7577,108,South,1.65E-06,4.23E-06,0,0.5,0,0,1,53.80689462,15.47799063,6.936014529,-3.836106971,-2.314303669
