Samp,Herbarium,CatalogNumber,State,K3Q2S1964_LD,K3Q1S1964_LD,K3Q3S1964_LD,MaxK3_LD,PC_LD1,PC_LD2,PC_LD3,PC_LD4,PC_LD5,PC_LD6,PC_LD7,PC_LD8,PC_LD9,PC_LD10,Directory,File,Country,RANGE,Year,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,,Region,PcoaYR,N_S,SampleN,lat,lon,H_C,N_S,Heterozygosity,K2Q1S1964,K2Q2S1964,K3Q1S1964,K3Q2S1964,K3Q3S1964,K4Q1S1964,K4Q2S1964,K4Q3S1964,K4Q4S1964,MaxK3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,Region,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13,PC1_TE,PC2_TE,PC3_TE,PC4_TE,PC5_TE
TRH4_14,UI,UI_06_19_1869,IL,0.966631926,0.033368073,0.000000001,0.966631926,0.038498137,-0.034919602,-0.015864795,0.0128907,-0.003288883,0.021488722,-0.010069326,-0.01361552,0.012150692,-0.004311411,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_14_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1869,1838-1877,1869_TRH4_14,1838-1877,1838-1877_NA,1869_NA,Middle,1869_Middle,M,2,38.0837368,-89.36702108,H,NA,0.002930263,0.058153864,0.941846136,0.039327149,0.96067285,1.00E-09,0.943285494,1.00E-09,1.00E-09,0.056714504,0.961,0.038108531,-0.034612831,-0.015433711,0.013234082,-0.000972923,-0.0215518,0.020423048,0.010512432,0.002287952,0.015549704,21507534,0,0,0,2.28503,4,5.0534,14,Middle,0,6.51E-07,0,0,1,0,0,-3.079627653,34.03513141,1.018800818,-7.689835691,8.670401459
TRH4_1,NCU,NCU_367014,AR,0.589620799,2.25E-09,0.410379199,0.589620799,-0.007481642,-0.031274151,-0.046137186,-0.027524689,0.026446708,-0.056294509,0.11598926,0.056305799,0.157637451,0.213454623,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_1_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1967,1958-1997,1967_TRH4_1,1958-1997,1958-1997_NA,1967_NA,Middle,1967_Middle,M,256,35.44763603,-93.03415428,H,NA,0.004607631,0.56166182,0.43833818,1.00E-09,0.582543937,0.417456062,0.505255011,0.475357073,1.00E-09,0.019387915,0.583,-0.008563833,-0.03179269,-0.045532131,-0.025672128,0.024886444,0.115820665,0.016244952,0.002319975,-0.124735794,0.266013144,49915136,0,2.34516,4,0,0,18.286,17,Middle,8.01E-08,3.41E-07,0.5,0,0.5,0,1,125.8589593,-11.7958973,-5.845444679,1.141023736,4.5565918
TRH4_29,PH,PH_00472085,PA,0.872171586,0.001736097,0.126092318,0.872171586,0.021255325,-0.039142398,0.01522417,0.018552958,0.007094704,0.027234088,-0.007352221,0.012076561,-0.045150458,0.02703937,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_29_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1946,1918-1957,1946_TRH4_29,1918-1957,1918-1957_NA,1946_NA,Middle,1946_Middle,M,119,39.92534363,-78.11268366,H,NA,0.003440682,0.254002037,0.745997963,0.001072051,0.876356508,0.122571441,0.860642168,0.081551729,0.057806102,1.00E-09,0.876,0.021175426,-0.039424035,0.016966554,0.01974115,0.009892186,-0.018110956,0.023502981,-0.025088201,0.056875093,0.024436383,25563499,0,0,0,0,0,9.09091,9,Middle,0,3.52E-07,0,0,0.5,0,0,77.30388161,4.386269717,5.574981183,-4.686589916,2.763553754
TRH4_44,PH,PH_00471515,PA,0.973090991,0.026909008,0.000000001,0.973090991,0.037880447,-0.030539977,-0.005362533,0.005892578,-0.002085979,0.012746565,-0.005778387,-0.00642383,0.007966864,-0.00941089,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_44_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1884,1878-1917,1884_TRH4_44,1878-1917,1878-1917_NA,1884_NA,Middle,1884_Middle,M,26,39.91680741,-75.39889981,H,NA,0.001258262,1.00E-09,0.999999999,0.021884839,0.97811516,1.00E-09,0.959482492,1.00E-09,1.00E-09,0.040517506,0.978,0.03760225,-0.03244601,-0.005470641,0.006455175,-0.001732379,-0.010664357,0.00921548,0.005286793,-0.007826255,-0.007536174,8871670,0,0,0,1.14251,2,5.31388,16,Middle,0,1.80E-06,0,0,0,0,0,-174.448063,24.51856225,-39.70538209,-9.71575027,3.175914592
TRH4_54,WVA,WVA_597478,WV,0.75693529,0.079568567,0.163496143,0.75693529,0.018089651,-0.028436109,0.029439315,0.00940146,-0.001051762,-0.00443666,-0.015767932,0.005878667,0.002386927,0.016108473,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_54_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1986,1958-1997,1986_TRH4_54,1958-1997,1958-1997_NA,1986_NA,Middle,1986_Middle,M,291,38.89782642,-80.23342321,H,NA,0.00344835,0.278541299,0.721458701,0.080186667,0.762147623,0.157665709,0.770249399,0.060766387,0.135388928,0.033595286,0.762,0.018493266,-0.02883992,0.030093706,0.009670091,-0.002317896,-0.017483779,-0.01431666,-0.012511581,-0.01828261,-0.000991215,25569496,0,62.2369,30,69.9339,30,50.2735,62,Middle,1.17E-06,2.42E-06,0,0,0,0.5,0,77.81547433,0.879470615,1.08882194,-7.150298936,-4.844663841
TRH4_55,WVA,WVA_56261,WV,0.753315418,0.083235717,0.163448865,0.753315418,0.01695586,-0.026817526,0.00757892,0.020451962,-0.007356992,0.001901969,-0.014245222,-0.001622401,-0.027090383,-0.008315229,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_55_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1952,1918-1957,1952_TRH4_55,1918-1957,1918-1957_NA,1952_NA,Middle,1952_Middle,M,104,39.17826738,-81.06294738,H,NA,0.003435734,0.279844179,0.720155821,0.090728915,0.748723231,0.160547854,0.763890847,0.042971142,0.161353588,0.031784423,0.749,0.017048423,-0.026198645,0.00826712,0.021249201,-0.006248711,-0.015782024,-0.008450918,-0.002447108,0.012132248,-0.029763268,24450703,0,2.10463,6,1.26278,2,8.10107,22,Middle,2.45E-07,9.00E-07,0,0,0,0,0,46.31342848,17.35845203,6.658542172,-5.448135642,-4.009520378
TRH4_57,WVA,WVA_63300,WV,0.330102488,0.412523576,0.257373935,0.412523576,0.008189047,0.016154586,0.009161448,0.021212901,-0.080224207,-0.02075344,0.008292331,0.007609736,-0.010799115,0.047970859,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_57_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1994,1958-1997,1994_TRH4_57,1958-1997,1958-1997_NA,1994_NA,Middle,1994_Middle,M,296,39.11359529,-79.56497417,H,NA,0.003042196,0.349767996,0.650232004,0.41898178,0.327625544,0.253392676,0.356991828,0.035430764,0.319735996,0.287841411,0.419,0.008675179,0.016789327,0.009863682,0.020134777,-0.077120467,-0.00024945,-0.008303403,-0.000860214,0.027328068,0.055068012,21159816,0,27.3602,10,47.4444,22,9.22115,6,Middle,4.73E-07,2.84E-07,0,0,0.5,0.5,0,54.76977205,7.981118362,-0.332641495,-5.009237949,-9.728786248
TRH4_58,WVA,WVA_56265,WV,0.95698559,0.030517866,0.012496544,0.95698559,0.031569015,-0.038756708,-0.017666589,0.023483963,-0.008060267,0.020008737,-0.005990681,0.000837043,0.007764614,0.01806636,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_58_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1965,1958-1997,1965_TRH4_58,1958-1997,1958-1997_NA,1965_NA,Middle,1965_Middle,M,295,39.11359529,-79.56497417,H,NA,0.003964376,0.134392585,0.865607415,0.028258331,0.960304644,0.011437025,0.943280897,0.02241168,1.00E-09,0.034307422,0.96,0.031537917,-0.039032721,-0.016816062,0.02369447,-0.005420055,-0.015927201,0.023473157,-0.0022073,0.012082832,0.034090719,40448479,0,0,0,0,0,50.2996,108,Middle,0,2.67E-06,0,0,0.5,0,0,84.86837498,12.01020664,12.88149675,-8.336506936,10.18502018
TRH4_59,WVA,WVA_56266,WV,0.525811964,0.474188035,1.00E-09,0.525811964,0.041645792,0.010795034,-0.036236083,-0.003690323,0.007264327,0.023541929,-0.024967685,-0.010023123,0.026670657,-0.008110297,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_59_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1961,1958-1997,1961_TRH4_59,1958-1997,1958-1997_NA,1961_NA,Middle,1961_Middle,M,302,39.63028389,-80.04654416,H,NA,0.003428198,0.000175759,0.999824241,0.475115558,0.524884441,1.00E-09,0.497696154,1.00E-09,1.00E-09,0.502303844,0.525,0.04161796,0.010663573,-0.036827039,-0.0043531,0.010616405,-0.035767367,0.007571273,0.01048509,-0.033064653,-0.014170297,33774909,0,27.1798,22,35.9591,18,12.4772,30,Middle,6.51E-07,8.88E-07,0,0,0,0,0,44.47600426,27.19320369,14.97299472,-10.46665293,-6.617844102
TRH4_62,WVA,WVA_56244,WV,0.810126415,0.116633365,0.07324022,0.810126415,0.026665035,-0.024362575,0.001087962,0.01695643,-0.010444458,0.003294435,-0.020241371,-0.005196196,-0.001734349,-0.020518127,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_62_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,USA,NAM,1930,1918-1957,1930_TRH4_62,1918-1957,1918-1957_NA,1930_NA,Middle,1930_Middle,M,111,39.63028389,-80.04654416,H,NA,0.002582736,0.18592527,0.81407473,0.118122874,0.804856824,0.077020302,0.816819493,3.35E-09,0.127070429,0.056110075,0.805,0.025451637,-0.024611676,0.001789887,0.019401499,-0.00901857,-0.020783817,-0.007136914,-0.000205586,-0.004171737,-0.022985954,15900656,0,8.65905,10,23.4516,9,3.3863,4,Middle,6.29E-07,2.52E-07,0,0,0,0,0,-7.659731841,27.91016514,-3.111470208,-5.691112721,-13.12463953
