"sample_row_id","predicted_country","actual_country","range","PC_LD1.x","PC_LD2.x","Samp","Herbarium","CatalogNumber","State","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","MaxK3_LD","PC_LD1.y","PC_LD2.y","PC_LD3","PC_LD4","PC_LD5","PC_LD6","PC_LD7","PC_LD8","PC_LD9","PC_LD10","Directory","File","Country","RANGE","Year","TimeBin","PCOASamp","PcoaGroups","PcoaGroupRegion","X","Region","PcoaYR","N_S","SampleN","lat","lon","H_C","N_S.1","Heterozygosity","K2Q1S1964","K2Q2S1964","K3Q1S1964","K3Q2S1964","K3Q3S1964","K4Q1S1964","K4Q2S1964","K4Q3S1964","K4Q4S1964","MaxK3","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","NREAD","COVERAGE","AC_COVERAGE","AC_COUNT","AC_2_COVERAGE","AC_2_COUNT","LI_COVERAGE","LI_COUNT","Region.1","stdAC","stdLI","geno_Hb7a1","geno_Hb7a2","geno_Hb7b","geno_Hb9","geno_Hb13","PC1_TE","PC2_TE","PC3_TE","PC4_TE","PC5_TE"
496,"Spain","USA","NAM",0.0525454492811139,0.0579014782149721,"LA_1","LSU","233509","LA",0.241479624,0.758520375,1e-09,0.758520375,0.042704653,0.041744691,-0.031460849,-0.016651803,0.019001806,0.023525501,-0.006761403,-0.005133433,0.022395826,-0.003074079,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","LA_1_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1972,"1958-1997","1972_LA_1","1958-1997","1958-1997_South","1972_South","South","1972_South","S",220,30.85334331,-90.04052688,"H","S",0.002699034,1e-09,0.999999999,0.753321768,0.246678231,1e-09,0.221795386,1e-09,1e-09,0.778204612,0.753,0.042889332,0.040903429,-0.03081608,-0.016306052,0.021641076,-0.013775938,0.017928234,0.004728454,-0.02284189,-0.004690063,22972405,0,69.7535,49,61.816,51,37.9005,68,"South",2.13e-06,2.96e-06,0,0,0,0,0,39.09920384,18.65796072,-4.772645147,-1.745301205,0.155751488
497,"Spain","USA","NAM",0.0813571148328516,0.0257309385976969,"LA_2","LSU","233510","LA",1e-09,0.92028649,0.079713509,0.92028649,0.024570924,0.070616537,0.005017808,-0.05127094,0.045871074,0.007048734,0.066934584,0.025784614,-0.04746857,-0.011193773,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","LA_2_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1989,"1958-1997","1989_LA_2","1958-1997","1958-1997_South","1989_South","South","1989_South","S",202,30.2035445,-90.91129129,"H","S",0.00337363,0.155081828,0.844918172,0.923261267,1e-09,0.076738732,1e-09,1e-09,0.142107598,0.8578924,0.923,0.025446092,0.070199953,0.003890089,-0.051391599,0.038365925,0.069734558,0.025302006,-0.02833213,0.026038836,-0.034606745,22464923,0,80.0361,35,79.3145,46,91.1956,92,"South",1.56e-06,4.1e-06,0,0.5,0,0,0,103.723776,-19.37884261,-11.04288159,1.048462709,-3.091155208
498,"Spain","USA","NAM",0.0616912950096478,0.0376926688437841,"LA_3","LSU","233511","LA",0.134946214,0.817894591,0.047159195,0.817894591,0.030463502,0.051893961,-0.01168164,-0.026150434,0.036563175,0.013453008,-0.001624337,-0.009727301,-0.009738314,0.010567773,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","LA_3_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1983,"1958-1997","1983_LA_3","1958-1997","1958-1997_South","1983_South","South","1983_South","S",236,32.8318885,-92.37480557,"H","S",0.002717851,0.084695882,0.915304118,0.811437258,0.144479417,0.044083324,0.118100004,0.035542367,0.044609525,0.801748105,0.811,0.031134105,0.05046527,-0.012618476,-0.025838013,0.040441504,-0.007136485,0.013595049,0.006291598,0.009252597,-0.007017181,17854634,0,51.2928,25,50.6915,20,45.2983,42,"South",1.4e-06,2.35e-06,0,0,0,0,0,49.22560529,0.425418806,-6.613879623,-2.23707985,-8.395176158
499,"UK","USA","NAM",-0.0123266317380361,0.0480539566794819,"MO_3179229","MO","3179229","MO",0.766286546,0.21118594,0.022527513,0.766286546,0.03042203,-0.01554315,-0.005454963,0.005795975,-0.011527933,0.010375299,-0.0103156,-0.011601736,0.012413397,-0.007575256,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_3179229_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1956,"1918-1957","1956_MO_3179229","1918-1957","1918-1957_NA","1956_NA","Middle","1956_Middle",NA,107,39.49546503,-92.00073525,"H",NA,0.001368707,0.105386326,0.894613674,0.20719418,0.772633171,0.020172649,0.762047765,0.006366426,0.03393387,0.19765194,0.773,0.030819727,-0.0161188,-0.006088822,0.005969594,-0.009355625,-0.016488909,0.006239642,0.011510951,-0.012149516,-0.004969506,6117547,0,20.0842,14,31.81,16,7.13728,6,"Middle",2.29e-06,9.81e-07,0,0,0,0.5,0.5,-119.4194383,19.02383382,-25.53866111,-7.286337234,-7.139765773
500,"France","USA","NAM",0.00412292028117824,0.0336719403142995,"MO_3525612","MO","3525612","MO",0.545299699,0.338495882,0.116204418,0.545299699,0.022706577,0.000600012,-0.004988315,0.004395514,-0.027903089,0.00581758,-0.024542009,-0.01534001,0.015369869,-0.001307812,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_3525612_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1986,"1958-1997","1986_MO_3525612","1958-1997","1958-1997_NA","1986_NA","Middle","1986_Middle",NA,282,38.44086709,-91.50793343,"H",NA,0.002816198,0.211237499,0.788762501,0.338722519,0.545257999,0.116019482,0.532184502,0.068644752,0.088620274,0.310550472,0.545,0.022528771,0.000489801,-0.005032017,0.002135741,-0.024690555,-0.031399743,-0.005567281,0.013135182,-0.013369873,-0.006191849,15824332,0,33.2532,14,3.60794,2,9.89841,10,"Middle",8.85e-07,6.32e-07,0,0,0,0,0,22.16288495,13.4679061,1.612620503,-0.496994877,2.683774464
501,"UK","USA","NAM",-0.0408997903064869,0.043875889926499,"MO_3896053","MO","3896053","MO",0.910769359,1e-09,0.08923064,0.910769359,0.025320614,-0.040792033,0.020616913,0.013497144,0.013601769,0.042089968,-0.002618282,-0.014151489,-0.05633803,0.076437554,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_3896053_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1989,"1958-1997","1989_MO_3896053","1958-1997","1958-1997_NA","1989_NA","Middle","1989_Middle",NA,271,37.50230058,-94.34711077,"H",NA,0.002970852,0.21918623,0.78081377,1e-09,0.910592273,0.089407726,0.910783729,3.19e-05,0.089184407,1e-09,0.911,0.025144021,-0.041897107,0.021604668,0.015217644,0.020278481,-0.012281975,0.044467373,-0.008765414,0.088133022,0.087556453,16089868,0,0,0,0,0,7.21542,6,"Middle",0,3.73e-07,0,0,1,0,0,27.33880693,8.526544586,2.186546559,-6.906881593,-4.56218058
502,"Spain","USA","NAM",0.0750330611350865,0.0555219619072094,"MO_5439107","MO","5439107","KY",1e-09,0.999999998,1e-09,0.999999998,0.043073148,0.062404114,-0.028253093,-0.011279591,0.010906516,0.028032875,-0.00865819,-0.008153575,0.01191753,-0.006878694,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_5439107_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1942,"1918-1957","1942_MO_5439107","1918-1957","1918-1957_NA","1942_NA","Middle","1942_Middle",NA,98,38.19625586,-83.42107541,"H",NA,0.002111127,1e-09,0.999999999,0.999999998,1e-09,1e-09,1e-09,1e-09,1e-09,0.999999997,1,0.043597074,0.06232554,-0.02847649,-0.010487926,0.013100299,-0.018654873,0.022612273,0.002659059,-0.004937209,-0.002085183,17873293,0,40.2285,40,17.3782,14,45.689,88,"Middle",2.24e-06,4.92e-06,0,0,0.5,0,0,-41.71037247,40.09951379,-10.04243819,1.663538051,8.094809423
503,"France","USA","NAM",-0.00227786669713836,0.0410624439217686,"MO_5439112","MO","5439112","KY",0.656670007,0.272300315,0.071029679,0.656670007,0.026829353,-0.005817697,-0.011805646,0.012887474,-0.03057853,0.009485728,-0.017459003,-0.012163866,0.016320467,-0.003445609,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_5439112_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",1982,"1958-1997","1982_MO_5439112","1958-1997","1958-1997_NA","1982_NA","Middle","1982_Middle",NA,281,38.31817284,-83.04953383,"H",NA,0.002825739,0.15850325,0.84149675,0.269991508,0.661844779,0.068163712,0.657427038,0.013304185,0.084405823,0.244862953,0.662,0.027130029,-0.006591224,-0.011337698,0.011291761,-0.026197273,-0.024672868,0.001703707,0.012735944,-0.019206197,-0.01158254,18920618,0,34.095,22,37.1016,27,1.32847,2,"Middle",1.16e-06,1.06e-07,0,0,0,0,0.5,-1.169555712,26.69093781,-2.176596638,0.272909447,7.985635653
504,"France","USA","NAM",0.00677847731091475,0.00886831425463095,"MO_5452217","MO","5452217","MO",0.395834339,0.313977228,0.290188433,0.395834339,0.007046727,0.005470879,0.042411932,-0.002157157,-0.031343388,0.015171447,0.000669288,-0.027838326,-0.022618812,0.019270978,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_5452217_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2013,"1998-Present","2013_MO_5452217","1998-Present","1998-Present_NA","2013_NA","Middle","2013_Middle",NA,386,39.00847567,-94.34610078,"H",NA,0.003341342,0.396628267,0.603371733,0.319662549,0.392611309,0.287726142,0.420640272,0.077046007,0.302570401,0.19974332,0.393,0.007165803,0.005977282,0.043237293,-0.001984714,-0.029178992,-0.013397788,0.012205306,0.02999357,0.013026824,-0.010482823,18262504,0,57.2459,30,36.1996,18,65.8244,64,"Middle",1.64e-06,3.5e-06,0,0,0,0,0,93.85180188,-27.76059548,-19.68250419,1.836528851,0.934718204
505,"UK","USA","NAM",-0.0123503246340588,0.0356281626871576,"MO_5457783","MO","5457783","IL",0.668118442,0.210283092,0.121598466,0.668118442,0.022518511,-0.014395155,0.005341038,0.009621386,0.005083866,0.010588219,-0.008332391,-0.003021382,-0.009702906,-0.009376461,"/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium","MO_5457783_CKDL230010355-1A_HJJGGCCX2_L2_C1.bam","USA","NAM",2001,"1998-Present","2001_MO_5457783","1998-Present","1998-Present_NA","2001_NA","Middle","2001_Middle",NA,385,38.82971226,-89.90499843,"H",NA,0.003096719,0.23066406,0.76933594,0.21027639,0.669174917,0.120548693,0.666660845,0.053796455,0.105908759,0.173633941,0.669,0.022277175,-0.014407322,0.006658488,0.008529697,0.008818343,-0.011805436,0.002018437,-0.005128619,0.002682635,-0.021797938,21893313,0,1.14251,2,0,0,15.4728,14,"Middle",9.14e-08,6.39e-07,0,0,0,0,0,86.36462605,-9.779802098,-10.20500715,1.568248169,6.423921988
