"","Column","P_Year","Estimate_Year","P_Latitude","Estimate_Latitude","P_Interaction","Estimate_Interaction","FDR_Year","FDR_Latitude","FDR_Interaction"
"1","AalpV_sc1",0.0542579261346056,0.0162823020203822,0.172176015099618,0.569031394968063,0.182414235040396,-0.000282642398420698,0.102305346541059,0.298470047112084,0.312487833855953
"2","AC9_ZM",0.247888018692378,0.0165899159721673,0.493843202804171,0.48429806679918,0.502974814707291,-0.000241136111572854,0.332077066198887,0.617075190795416,0.626412359944864
"3","Afa_HV",0.0106332473124133,0.015428169148937,0.0311421423255216,0.641327663833608,0.031474565918451,-0.00032554377130438,0.0329111114130468,0.135992368109587,0.142477569821313
"4","ALBERT_TA",0.0885089449215689,0.0171648485924935,0.211278755089747,0.620864602507911,0.228411204296281,-0.000304241224154992,0.149158352279002,0.342421045551531,0.363912184456049
"5","Alfare1_I",0.480774660076516,0.0742924201546547,0.572584337987739,2.93238855709392,0.597900765391859,-0.00139407243627867,0.559905245707864,0.68319333781648,0.706861889345411
"6","Alfare1_LTR",0.0634559724553177,0.0963842777503845,0.25192011603131,2.93098894063804,0.263441893739436,-0.00145502618536681,0.115184793078028,0.385955847300688,0.40029427479178
"7","Alfare2_LTR",0.000479246857762741,1.6138795165348,0.00868647226672392,59.6264623807266,0.00972375956682207,-0.0298764310066363,0.0143190051641272,0.131146101653109,0.139930101644707
"8","ALISEI_I",0.0912895391114656,0.0178970409918863,0.260473272422654,0.587706621091268,0.267987588396906,-0.000294242549658786,0.152753405366624,0.394915066991826,0.405179376402114
"9","AlyrV",0.00166598808419341,0.0267469032602809,0.0041134592754598,1.20280504394227,0.00396223580809817,-0.000614309437009912,0.0145173084879815,0.131146101653109,0.139930101644707
"10","ANGELA1_TM.int",0.0395768682859494,0.0184061470328197,0.149226041839528,0.635390114291047,0.153506842876575,-0.000319794534738045,0.0813592986829358,0.272929972675282,0.280532640834849
"11","ARET1LTR",0.548897573661254,0.00311684281456686,0.614575443155861,0.129146788339139,0.604961404726206,-6.74768117494417e-05,0.623471022597903,0.716428099333941,0.711821328747278
"12","Arnold1",0.146885537439669,0.0123739126980858,0.305516656502923,0.430860951148302,0.309176941146128,-0.000217487553958339,0.221634636865279,0.441551327626871,0.446909823503569
"13","Arnold2",0.334879844794071,0.0084757316262393,0.589951946243339,0.233545577775577,0.595526535521182,-0.000117006934906003,0.420784192626629,0.697639240865807,0.705291715029414
"14","Arnold3",0.0492567457273675,0.0242960756320192,0.122033807035006,0.941564849878775,0.129886375211202,-0.000469033606049487,0.0954103063658161,0.239980835605958,0.252887272198542
"15","Arnold4",0.64294946289245,0.00274474849132795,0.932794364298599,0.0246252963892978,0.949270507385685,-9.44934176840847e-06,0.706002789697747,0.955689145162221,0.966263810979562
"16","ArnoldY1",0.400297053799046,0.00936625327832502,0.516141654967429,0.356593221798179,0.518633756886534,-0.000180291654158995,0.484286579186003,0.636678133982953,0.640266998781869
"17","ArnoldY2",0.2779898603395,0.0151993120663723,0.57670388440593,0.385565568102477,0.573568009973072,-0.000197719964875785,0.363810874886964,0.686987857778996,0.686260419081738
"18","ATCopia10_I",0.841329189265736,-0.000941201037458974,0.739224538815246,-0.0771999133646324,0.728948174137784,4.08745777434114e-05,0.87488225377099,0.812759513322901,0.807303837037912
"19","ATCopia11I",0.775506665320268,-0.00457007201159134,0.584255451574815,-0.432583500905449,0.571704007842492,0.000227404693159269,0.819526132328483,0.693073671913369,0.685507384403619
"20","ATCopia12I",0.0042797805927956,0.0214124496622569,0.0169202917513857,0.881717211223657,0.0172179426376076,-0.00044724023671163,0.0199000326158942,0.131146101653109,0.139930101644707
"21","ATCopia14I",0.0633962209863607,0.0147088986084383,0.145222667966429,0.568825246066665,0.143503360258142,-0.000290557351923203,0.11512060982883,0.268249855760297,0.26930374060187
"22","ATCopia15I",0.117463642628454,0.00956095546790608,0.167188398950276,0.415973430206324,0.168895424096169,-0.000210720170775741,0.185345924903038,0.293162046756764,0.296816962957316
"23","ATCopia16I",0.939877936099444,0.00039419422695496,0.829274789520906,-0.0555911860292013,0.808656596666253,3.17530566400133e-05,0.953617955373821,0.881180315016079,0.866293226186898
"24","ATCopia17I",0.000813717688460435,0.022165040011303,0.00182744022018023,1.01690149973638,0.00189023467863664,-0.000515534944006425,0.0143190051641272,0.131146101653109,0.139930101644707
"25","ATCopia18A_I",0.300788762886853,0.0140759251312799,0.559379646471157,0.391529946787656,0.569655677689569,-0.000193948572035131,0.386857219360812,0.672181347299968,0.68410642975905
"26","ATCopia20I",0.471059303779301,0.0117628185637697,0.695011003601626,0.315544202839598,0.696837618093779,-0.000159478271037195,0.550765362117283,0.780048616289625,0.782752787047991
"27","ATCopia22I",0.165311377794216,0.00798270576587326,0.171496465302422,0.38806259676603,0.19120566420435,-0.000188638340330687,0.242708678643585,0.298003522825765,0.321996478933962
"28","ATCopia24I",0.0040444093619488,3.10549629316861,0.0418847512624877,108.147412259781,0.0447387422182296,-0.0542564293772366,0.0193881056208404,0.146386867302008,0.15415108842515
"29","ATCopia27_I",0.0971680357842992,0.0133459874491123,0.160698932452344,0.556434717710741,0.161434987532805,-0.000282511920743026,0.160477254213667,0.284371432961693,0.288923937679588
"30","ATCopia28_I",0.0434388177540874,0.105554865802466,0.216128995466074,3.18399986094869,0.230621382357175,-0.00156941629119528,0.087071352894634,0.34796489604173,0.366267350522675
"31","ATCopia29_I",0.696454592226496,-0.0022445074207077,0.486098588593495,-0.197713838408627,0.471023766873866,0.00010406843911384,0.752237066130742,0.6098198535,0.598721988968535
