TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.61,18.5,0.054765086,25.43333333,0.094893218,22.21052632,0.669879128,31.73913043,2.69E-10,0.034254716,0.017411417
ltr.1_family.610,5.166666667,0.859895907,5.533333333,0.063733136,5.385964912,0.752784696,5.869565217,1.44E-06,0.025567706,0.07884335
ltr.1_family.611,669.5,0.35800388,751.2666667,0.058858053,710.3859649,0.91218573,881.1304348,3.50E-19,0.028739918,0.041279324
ltr.1_family.612,47.5,0.214848022,66.33333333,0.048972854,53.42105263,0.660151138,100.5217391,1.79E-14,0.032851351,0.0200619
ltr.1_family.613,26,0.760269474,28.7,0.025884064,26.49122807,0.882122393,31.17391304,4.54E-11,0.019681517,0.163469177
ltr.1_family.614,92,0.136370963,108.3,0.043618112,100,0.950855627,131.173913,4.01E-14,0.035296361,0.015932785
ltr.1_family.615,48.66666667,0.286330861,59.8,0.029286406,53.56140351,0.998306821,70.52173913,3.39E-11,0.033002503,0.022847449
ltr.1_family.616,23.83333333,0.226369004,27.23333333,0.25639953,26.49122807,0.84758091,30.13043478,4.58E-12,0.015938413,0.273537945
ltr.1_family.617,48.66666667,0.780948418,52.3,0.057196614,49.92982456,0.98138165,58.56521739,1.18E-12,0.032358548,0.023360469
ltr.1_family.618,92.66666667,0.391242667,101.3333333,0.124365143,97.0877193,0.996341805,115.0434783,3.06E-14,0.030146424,0.033546933
ltr.1_family.619,39.83333333,0.81879973,40.43333333,0.338985934,39.94736842,0.821093344,41.26086957,1.25E-08,0.020606558,0.132075197
ltr.1_family.62,262.8333333,0.171456155,383.8,0.061310871,292.5614035,0.533616952,630.4347826,3.25E-15,0.038774641,0.014308386
ltr.1_family.620,551.5,0.158702423,588.9666667,0.111770072,573.5614035,0.928721784,626.0869565,4.82E-15,0.022733936,0.105998003
ltr.1_family.621,40.83333333,0.230803891,58.76666667,0.046423102,46.9122807,0.75864451,97.52173913,3.25E-14,0.032842869,0.018705864
ltr.1_family.622,1.5,0.161487631,2.4,0.08279451,2.105263158,0.990550829,2.826086957,2.44E-09,0.018092126,0.205558107
ltr.1_family.623,5.5,0.879039722,6.066666667,0.058177141,5.684210526,0.982785815,6.782608696,5.30E-11,0.034330252,0.021480699
ltr.1_family.624,5.333333333,0.233581741,6.533333333,0.299716286,6.245614035,0.989976137,6.869565217,0.000459515,-0.012319687,0.400048972
ltr.1_family.625,20.33333333,0.217389366,27.2,0.117123854,25.40350877,0.858681785,37.39130435,5.66E-13,0.036485996,0.014506542
ltr.1_family.626,34.83333333,0.216005935,41.73333333,0.122896562,39.1754386,0.955841634,48.86956522,4.51E-19,0.024696991,0.068426877
ltr.1_family.627,21.33333333,0.934025572,22.46666667,0.037925336,21.31578947,0.889106816,24.65217391,2.34E-12,0.014482466,0.306903787
