"","Samp","PC_LD1","PC_LD2","Country","Year"
"525","TRH4_1",-0.007481642,-0.031274151,"Herbarium",1967
"526","TRH4_20",0.033856546,-0.040089317,"Herbarium",1945
"527","TRH4_22",0.032821093,-0.038598903,"Herbarium",1952
"528","TRH4_23",0.028024826,-0.038568287,"Herbarium",1945
"529","TRH4_24",0.039353515,0.065572368,"Herbarium",1908
"530","TRH4_25",0.035150617,-0.034922336,"Herbarium",1961
"531","TRH4_26",0.024970471,-0.003911081,"Herbarium",1959
"532","TRH4_27",0.024183795,-0.035042467,"Herbarium",1939
"533","TRH4_28",0.018366614,-0.033697391,"Herbarium",1951
"534","TRH4_29",0.021255325,-0.039142398,"Herbarium",1946
"535","TRH4_30",0.028088107,-0.034840896,"Herbarium",1943
"536","TRH4_31",0.030390224,-0.045000783,"Herbarium",1938
"537","TRH4_32",0.013089023,0.03741571,"Herbarium",1987
"538","TRH4_33",0.026618777,-0.035011703,"Herbarium",1982
"539","TRH4_34",0.011935995,-0.024540008,"Herbarium",1951
"540","TRH4_35",0.009558491,-0.032637567,"Herbarium",1957
"541","TRH4_36",0.015415563,-0.024690587,"Herbarium",1973
"542","TRH4_37",0.01155738,-0.026244142,"Herbarium",1959
"543","TRH4_38",0.015826285,-0.027413636,"Herbarium",1979
"544","TRH4_39",0.03452221,-0.033403911,"Herbarium",1893
"545","TRH4_3",0.025929323,-0.039373198,"Herbarium",1899
"546","TRH4_40",0.029278021,-0.021640555,"Herbarium",1944
"547","TRH4_42",-0.018496622,-0.026652934,"Herbarium",1915
"548","TRH4_43",0.021687406,-0.041113836,"Herbarium",1867
"549","TRH4_44",0.037880447,-0.030539977,"Herbarium",1884
"550","TRH4_45",0.033008605,-0.031031958,"Herbarium",1934
"551","TRH4_47",0.009846078,0.017190441,"Herbarium",1961
"552","TRH4_48",0.025894924,-0.027317229,"Herbarium",1988
"553","TRH4_4",0.035069342,-0.040267357,"Herbarium",1916
"554","TRH4_50",0.033460692,-0.041766474,"Herbarium",1922
"555","TRH4_51",0.036028721,-0.040935384,"Herbarium",1885
"556","TRH4_54",0.018089651,-0.028436109,"Herbarium",1986
"557","TRH4_55",0.01695586,-0.026817526,"Herbarium",1952
"558","TRH4_56",0.029466216,-0.027467333,"Herbarium",1943
"559","TRH4_57",0.008189047,0.016154586,"Herbarium",1994
"560","TRH4_58",0.031569015,-0.038756708,"Herbarium",1965
"561","TRH4_59",0.041645792,0.010795034,"Herbarium",1961
"562","TRH4_5",0.002622158,0.041861809,"Herbarium",1959
"563","TRH4_60",0.020016398,-0.036906784,"Herbarium",1944
"564","TRH4_62",0.026665035,-0.024362575,"Herbarium",1930
"565","TRH4_63",0.03329449,-0.041022803,"Herbarium",1907
"566","TRH4_64",0.027077295,0.058052947,"Herbarium",1992
"567","TRH4_65",0.031754774,-0.041625499,"Herbarium",1977
"568","TRH4_66",0.034053305,0.055254319,"Herbarium",NA
"569","TRH4_67",0.005277533,0.047222086,"Herbarium",NA
"570","TRH4_69",0.023414307,-0.032179523,"Herbarium",1936
"571","TRH4_70",0.028325518,0.054654509,"Herbarium",1992
"572","TRH4_71",0.025119599,-0.027354093,"Herbarium",1910
"573","TRH4_72",0.015867084,-0.028814258,"Herbarium",1975
"574","TRH4_73",0.025289802,0.019387105,"Herbarium",1975
"575","TRH4_74",0.002583758,0.047551435,"Herbarium",1973
"576","TRH4_75",0.015828855,-0.034977342,"Herbarium",1966
"577","TRH4_76",0.030591475,-0.035973341,"Herbarium",1975
"578","TRH4_77",0.016848217,-0.018412266,"Herbarium",1975
"579","TRH4_78",0.008326803,-0.033294672,"Herbarium",2006
"580","TRH4_79",0.028220418,0.066310229,"Herbarium",2001
"581","TRH4_7",0.027123042,-0.028022849,"Herbarium",1902
"582","TRH4_80",0.013452214,-0.028319009,"Herbarium",1975
"583","TRH4_81",0.02411229,-0.012025083,"Herbarium",1975
"584","TRH4_82",0.020915121,-0.037242461,"Herbarium",1960
"585","TRH4_83",0.000940439,-0.004580649,"Herbarium",2014
"586","TRH4_84",0.016161171,-0.038415729,"Herbarium",1938
"587","TRH4_8",0.030007817,0.013255182,"Herbarium",1970
"588","TRH4_9",0.034803994,-0.039631365,"Herbarium",1897
"589","TRHS100",0.036198211,0.048632578,"Herbarium",1947
"590","TRHS101",0.028302997,-0.037784794,"Herbarium",1949
"591","TRHS102",0.036345812,-0.019417248,"Herbarium",1882
"592","TRHS103",0.006834185,0.02295872,"Herbarium",1979
"593","TRHS104",0.041663598,0.063017699,"Herbarium",1931
"594","TRHS105",0.000850278,-0.028666851,"Herbarium",1854
"595","TRHS106",0.009506948,-0.029714195,"Herbarium",1992
"596","TRHS107",0.002435112,0.008609469,"Herbarium",2000
"597","TRHS109",0.026671857,-0.033721916,"Herbarium",1916
"598","TRHS110",0.017962197,-0.028465367,"Herbarium",1914
"599","TRHS111",0.01563608,-0.036656998,"Herbarium",1926
"600","TRHS112",0.038364055,0.062744537,"Herbarium",1978
"601","TRHS113",0.03809268,-0.03922423,"Herbarium",1939
"602","TRHS114",0.032474292,-0.036784013,"Herbarium",1934
"603","TRHS115",0.033349027,-0.041539142,"Herbarium",1951
"604","TRHS116",0.032044442,-0.028998785,"Herbarium",1932
"605","TRHS117",0.039605324,-0.03643879,"Herbarium",1883
"606","TRHS118",0.039214329,-0.034582007,"Herbarium",1903
"607","TRHS119",0.036608824,-0.03796398,"Herbarium",1892
"608","TRHS120",0.042158691,0.067900802,"Herbarium",1975
"609","TRHS121",0.0323456,0.030444334,"Herbarium",1969
"610","TRHS122",0.028873521,0.051242157,"Herbarium",1988
"611","TRHS123",0.031550305,0.052787815,"Herbarium",1998
"612","TRHS124",0.03528256,0.058431805,"Herbarium",1966
"613","TRHS126",0.035814761,0.010889573,"Herbarium",1947
"614","TRHS127",0.010984505,-0.014916674,"Herbarium",1988
"615","TRHS128",0.042325946,0.069771881,"Herbarium",1967
"616","TRHS129",0.026812208,-0.031720848,"Herbarium",1954
"617","TRHS130",0.018666582,-0.030446642,"Herbarium",1927
"618","TRHS131",0.022784408,-0.036805158,"Herbarium",1914
"619","TRHS132",0.027865437,-0.036167205,"Herbarium",1921
"620","TRHS133",0.032233601,-0.039828617,"Herbarium",1946
