"","Samp","PC_LD1","PC_LD2","Country","Year"
"862","TRHS402",0.021275701,-0.006914769,"Herbarium",1935
"863","TRHS403",0.011994975,0.011282019,"Herbarium",1968
"864","TRHS404",0.0364253,0.018563399,"Herbarium",1882
"865","TRHS405",0.023718462,0.030370541,"Herbarium",1970
"866","TRHS406",0.03203344,-0.028853924,"Herbarium",2005
"867","TRHS407",0.037650235,-0.010479711,"Herbarium",1879
"868","TRHS408",0.034242854,-0.03931364,"Herbarium",2004
"869","TRHS409",0.03631375,-0.033848537,"Herbarium",2010
"870","TRHS410",0.03685916,-0.038212047,"Herbarium",2022
"871","TRHS411",0.031114589,-0.040323281,"Herbarium",2024
"872","TRHS412",0.031127573,-0.043510418,"Herbarium",2019
"873","TRHS413",0.037004454,-0.036830557,"Herbarium",1883
"874","TRHS414",0.03517696,-0.041915645,"Herbarium",1889
"875","TRHS415",0.036567375,-0.035944931,"Herbarium",1884
"876","TRHS416",0.036240478,-0.027948827,"Herbarium",1933
"877","TRHS417",0.025265408,-0.033927182,"Herbarium",1938
"878","TRHS418",0.018865913,-0.032818169,"Herbarium",1998
"879","TRHS419",0.035381128,-0.028991773,"Herbarium",1946
"880","TRHS420",0.020738492,-0.036619578,"Herbarium",1999
"881","TRHS421",0.023669,0.013967763,"Herbarium",1953
"882","TRHS422",0.041215184,0.042840083,"Herbarium",1969
"883","TRHS423",0.01867311,-0.031154453,"Herbarium",1965
"884","TRHS424",0.037754917,0.034747351,"Herbarium",1969
"885","TRHS425",0.039933737,-0.008753477,"Herbarium",1948
"886","TRHS426",0.018365004,0.029213519,"Herbarium",1960
"887","TRHS427",0.023417681,0.012920066,"Herbarium",1947
"888","TRHS428",0.039274526,0.060257567,"Herbarium",1977
"889","TRHS429",0.040417865,0.066720532,"Herbarium",1974
"890","TRHS430",0.036448614,0.055609838,"Herbarium",1950
"891","TRHS431",0.038018193,0.035710772,"Herbarium",1959
"892","TRHS432",0.041173495,-0.008781408,"Herbarium",1904
"893","TRHS50",0.034915667,-0.040943037,"Herbarium",1889
"894","TRHS51",0.030784834,-0.041236204,"Herbarium",1902
"895","TRHS52",0.018749845,-0.042220485,"Herbarium",1904
"896","TRHS53",0.027323507,-0.040121537,"Herbarium",1923
"897","TRHS54",0.015424426,-0.039422353,"Herbarium",1925
"898","TRHS55",0.02374352,-0.018002624,"Herbarium",1934
"899","TRHS56",0.032462712,0.071900396,"Herbarium",1991
"900","TRHS57",0.039757356,0.059383126,"Herbarium",1973
"901","TRHS58",0.028037533,0.038026764,"Herbarium",1957
"902","TRHS59",0.038674906,-0.030941107,"Herbarium",1888
"903","TRHS60",0.035494139,-0.039227782,"Herbarium",1891
"904","TRHS61",0.03756944,-0.031745472,"Herbarium",1913
"905","TRHS63",0.000589473,-0.027213199,"Herbarium",1927
"906","TRHS64",0.037707178,0.066128196,"Herbarium",1979
"907","TRHS65",0.023122199,-0.040289339,"Herbarium",1935
"908","TRHS66",0.033696117,-0.038587617,"Herbarium",1937
"909","TRHS67",0.027157233,-0.037435125,"Herbarium",1942
"910","TRHS68",0.023372769,-0.042232738,"Herbarium",1946
"911","TRHS69",0.026521076,-0.040104506,"Herbarium",1948
"912","TRHS70",0.014770671,-0.004116522,"Herbarium",1951
"913","TRHS71",0.032107859,-0.035372601,"Herbarium",1972
"914","TRHS72",0.043008346,0.061645369,"Herbarium",1971
"915","TRHS73",0.034782731,-0.034178405,"Herbarium",1937
"916","TRHS74",0.039679551,0.02210506,"Herbarium",1940
"917","TRHS75",0.035058541,0.073239996,"Herbarium",1941
"918","TRHS76",0.03341908,-0.029510693,"Herbarium",1943
"919","TRHS77",0.034582922,0.061337047,"Herbarium",1957
"920","TRHS78",0.034977129,0.062018192,"Herbarium",1956
"921","TRHS79",-0.000125013,-0.029041043,"Herbarium",1920
"922","TRHS80",0.030694624,0.072626658,"Herbarium",1977
"923","TRHS81",0.022413212,-0.026128111,"Herbarium",1971
"924","TRHS82",0.024702491,-0.039504296,"Herbarium",1948
"925","TRHS83",0.033478192,0.044075033,"Herbarium",1947
"926","TRHS84",0.012371901,-0.035270527,"Herbarium",1991
"927","TRHS85",0.038133484,0.062718577,"Herbarium",1947
"928","TRHS86",0.027100758,-0.039723133,"Herbarium",1947
"929","TRHS87",0.033517944,0.060326016,"Herbarium",1949
"930","TRHS88",0.033361591,0.069116328,"Herbarium",1983
"931","TRHS89",0.000499363,-0.032257666,"Herbarium",1838
"932","TRHS90",0.008929828,-0.034590914,"Herbarium",1839
"933","TRHS91",0.014231347,-0.02668391,"Herbarium",1863
"934","TRHS92",0.029973502,-0.033785101,"Herbarium",1898
"935","TRHS93",0.032596196,-0.024954661,"Herbarium",1879
"936","TRHS94",0.023517799,-0.030831627,"Herbarium",1923
"937","TRHS95",0.010321023,-0.03042692,"Herbarium",1987
"938","TRHS96",0.0443724,0.055291141,"Herbarium",1977
"939","TRHS97",0.028790739,-0.034152391,"Herbarium",1947
"940","TRHS98",0.011212945,0.034778817,"Herbarium",1994
"941","TRHS99",0.020811994,-0.034918455,"Herbarium",1982
"942","USMS_000010705",0.039156952,0.066483391,"Herbarium",1975
"943","USMS_000010708",0.034986535,0.052504207,"Herbarium",1997
"944","USMS_000018022",0.018537433,0.061871053,"Herbarium",2008
"945","WVA_105307",-0.011747643,-0.028284119,"Herbarium",1912
"946","WVA_56235",0.022711643,-0.031894161,"Herbarium",1961
"947","WVA_56236",0.022636045,-0.025540972,"Herbarium",1934
"948","WVA_56250",0.026422883,0.05453039,"Herbarium",1947
