"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"56","Antwerp_5_8",0.505721585,0.028606495,0.46567192,"Belgium",2018,"Contemp",NA,51.219,4.402
"57","Antwerp_5_9",0.507833984,1e-09,0.492166015,"Belgium",2018,"Contemp",NA,51.219,4.402
"58","Paris_11_10",0.501083758,0.149842999,0.349073242,"France",2018,"Contemp",NA,48.857,2.352
"59","Paris_11_12",0.233293028,0.172274823,0.594432149,"France",2018,"Contemp",NA,48.857,2.352
"60","Paris_11_14",0.446248634,0.222446171,0.331305195,"France",2018,"Contemp",NA,48.857,2.352
"61","Paris_11_6",0.290640674,0.183561138,0.525798188,"France",2018,"Contemp",NA,48.857,2.352
"62","Paris_11_7",0.305300242,0.179220419,0.51547934,"France",2018,"Contemp",NA,48.857,2.352
"63","Paris_11_8",0.311274565,0.291509339,0.397216096,"France",2018,"Contemp",NA,48.857,2.352
"64","Paris_11_9",0.449671223,0.18162185,0.368706926,"France",2018,"Contemp",NA,48.857,2.352
"65","Paris_13_13",0.278660148,0.263392325,0.457947527,"France",2018,"Contemp",NA,48.857,2.352
"66","Paris_15_11",0.214000471,0.269457858,0.516541671,"France",2018,"Contemp",NA,48.857,2.352
"67","Paris_15_12",0.217310452,0.272471462,0.510218086,"France",2018,"Contemp",NA,48.857,2.352
"68","Paris_15_13",0.238381072,0.221822006,0.539796922,"France",2018,"Contemp",NA,48.857,2.352
"69","Paris_15_3",0.329019176,0.289640868,0.381339955,"France",2018,"Contemp",NA,48.857,2.352
"70","Paris_15_5",0.240099157,0.242317528,0.517583315,"France",2018,"Contemp",NA,48.857,2.352
"71","Paris_15_8",0.333515257,0.270348031,0.396136712,"France",2018,"Contemp",NA,48.857,2.352
"72","Paris_15_9",0.300187192,0.225040702,0.474772106,"France",2018,"Contemp",NA,48.857,2.352
"73","Paris_2_2",0.309685556,0.186037892,0.504276552,"France",2018,"Contemp",NA,48.857,2.352
"74","Paris_23_19",0.325349453,0.191980567,0.48266998,"France",2018,"Contemp",NA,48.857,2.352
"75","Paris_25_13",0.329334028,0.151899153,0.518766818,"France",2018,"Contemp",NA,48.857,2.352
"76","Paris_25_2",0.419371263,0.287334058,0.293294679,"France",2018,"Contemp",NA,48.857,2.352
"77","Paris_2_9",0.281003597,0.146835136,0.572161267,"France",2018,"Contemp",NA,48.857,2.352
"78","Paris_3_3",0.407250643,0.137711657,0.4550377,"France",2018,"Contemp",NA,48.857,2.352
"79","Paris_39_15",0.401003672,0.224257108,0.37473922,"France",2018,"Contemp",NA,48.857,2.352
"80","Paris_39_19",0.318713837,0.221701014,0.459585148,"France",2018,"Contemp",NA,48.857,2.352
"81","Paris_39_1",0.256614441,0.274855005,0.468530554,"France",2018,"Contemp",NA,48.857,2.352
"82","Paris_39_2",0.312808581,0.231868955,0.455322463,"France",2018,"Contemp",NA,48.857,2.352
"83","Paris_39_5",0.383095994,0.230850212,0.386053793,"France",2018,"Contemp",NA,48.857,2.352
"84","Paris_6_1",0.281933005,0.199901776,0.518165219,"France",2018,"Contemp",NA,48.857,2.352
"85","Paris_6_4",0.306690188,0.179143282,0.51416653,"France",2018,"Contemp",NA,48.857,2.352
"86","Paris_8_10",0.296563627,0.242358405,0.461077969,"France",2018,"Contemp",NA,48.857,2.352
"87","Paris_8_8",0.266702643,0.256070011,0.477227346,"France",2018,"Contemp",NA,48.857,2.352
"88","Landshut_1_11",0.136502326,0.143719298,0.719778375,"Germany",2018,"Contemp",NA,48.52961,12.16179
"89","Landshut_1_14",1e-09,0.231984901,0.768015098,"Germany",2018,"Contemp",NA,48.52961,12.16179
"90","Landshut_1_15",0.092510729,0.07488381,0.832605461,"Germany",2018,"Contemp",NA,48.52961,12.16179
"91","Landshut_1_18",0.111540688,0.088915117,0.799544196,"Germany",2018,"Contemp",NA,48.52961,12.16179
"92","Landshut_1_1",0.096561316,0.144225719,0.759212966,"Germany",2018,"Contemp",NA,48.52961,12.16179
"93","Landshut_1_4",0.098791996,0.116494549,0.784713454,"Germany",2018,"Contemp",NA,48.52961,12.16179
"94","Landshut_1_5",0.069176682,0.308147364,0.622675955,"Germany",2018,"Contemp",NA,48.52961,12.16179
"95","Landshut_1_7",0.02064173,0.118150733,0.861207537,"Germany",2018,"Contemp",NA,48.52961,12.16179
"96","Landshut_1_8",0.140894634,0.116122923,0.742982443,"Germany",2018,"Contemp",NA,48.52961,12.16179
"97","Landshut_1_9",0.057741437,0.105299237,0.836959327,"Germany",2018,"Contemp",NA,48.52961,12.16179
"98","Landshut_2_12",0.016930109,0.094852278,0.888217612,"Germany",2018,"Contemp",NA,48.52961,12.16179
"99","Landshut_2_17",1e-09,0.065308036,0.934691963,"Germany",2018,"Contemp",NA,48.52961,12.16179
"100","Landshut_2_19",0.098173455,0.112419655,0.78940689,"Germany",2018,"Contemp",NA,48.52961,12.16179
"101","Landshut_2_20",0.080329595,0.106720461,0.812949945,"Germany",2018,"Contemp",NA,48.52961,12.16179
"102","Landshut_2_2",0.000976787,0.029302385,0.969720828,"Germany",2018,"Contemp",NA,48.52961,12.16179
"103","Landshut_2_6",0.087554764,1e-09,0.912445235,"Germany",2018,"Contemp",NA,48.52961,12.16179
"104","Landshut_2_7",0.020780372,0.087055253,0.892164375,"Germany",2018,"Contemp",NA,48.52961,12.16179
"105","Landshut_2_8",0.066800583,0.070634298,0.86256512,"Germany",2018,"Contemp",NA,48.52961,12.16179
"106","Landshut_3_11",0.113615563,0.121382229,0.765002208,"Germany",2018,"Contemp",NA,48.52961,12.16179
"107","Landshut_3_16",0.344974908,0.153044376,0.501980716,"Germany",2018,"Contemp",NA,48.52961,12.16179
"108","Landshut_3_18",0.234464294,0.134301858,0.631233848,"Germany",2018,"Contemp",NA,48.52961,12.16179
"109","Landshut_3_20",0.296162996,0.174730552,0.529106452,"Germany",2018,"Contemp",NA,48.52961,12.16179
"110","Landshut_3_2",0.154661837,0.123550076,0.721788088,"Germany",2018,"Contemp",NA,48.52961,12.16179
"111","Landshut_3_3",0.010544627,0.101794777,0.887660595,"Germany",2018,"Contemp",NA,48.52961,12.16179
"112","Landshut_3_5",0.218944948,0.128517243,0.652537809,"Germany",2018,"Contemp",NA,48.52961,12.16179
"113","Landshut_3_8",0.091383234,0.049835949,0.858780817,"Germany",2018,"Contemp",NA,48.52961,12.16179
"114","Landshut_4_10",0.081955807,0.21009934,0.707944853,"Germany",2018,"Contemp",NA,48.52961,12.16179
"115","Landshut_4_11",0.038824156,0.048420617,0.912755227,"Germany",2018,"Contemp",NA,48.52961,12.16179
"116","Landshut_4_12",0.091106428,0.219460808,0.689432763,"Germany",2018,"Contemp",NA,48.52961,12.16179
"117","Landshut_4_13",1e-09,0.049008355,0.950991644,"Germany",2018,"Contemp",NA,48.52961,12.16179
"118","Landshut_4_4",0.053698518,0.075882561,0.870418921,"Germany",2018,"Contemp",NA,48.52961,12.16179
