"","Year","N","Heterozygosity","sd","se","ci"
"83",1972,5,0.002606443,0.000871880318748795,0.000389916732193298,0.0010825824025328
"84",1973,4,0.00302800725,0.000629386594113864,0.000314693297056932,0.00100149452051638
"85",1974,2,0.00282593,5.43623693376218e-05,3.844e-05,0.000488426510058556
"86",1975,11,0.00317173936363636,0.000573857257262862,0.000173024473233033,0.00038552255115498
"87",1976,3,0.00288114766666667,0.000239151120441309,0.00013807396376379,0.0005940843170956
"88",1977,6,0.00285820883333333,0.000314557425880501,0.000128417531368428,0.000330107773512937
"89",1978,2,0.002949441,0.000348661625881025,0.000246541,0.00313260042186125
"90",1979,2,0.0030196335,0.000400790244896879,0.0002834015,0.00360095748153901
"91",1980,1,0.003167504,NA,NA,NA
"92",1981,2,0.0029617335,0.000671333542019539,0.0004747045,0.00603169256618344
"93",1982,6,0.00349302516666667,0.000713059210736785,0.000291105203782804,0.000748309749103283
"94",1983,3,0.002968102,0.000294880609031859,0.000170249399003345,0.000732524041359946
"95",1984,2,0.003269311,0.000537996537611535,0.000380421,0.00483370711194031
"96",1985,1,0.003405637,NA,NA,NA
"97",1987,8,0.00309967175,0.000652865781953414,0.000230822910811958,0.000545809452729195
"98",1988,3,0.00347721433333333,0.000360448785019916,0.000208105203060322,0.00089540442002256
"99",1989,2,0.00303996,0.00047188063935703,0.00033367,0.00423967933431941
"100",1990,2,0.0027421315,8.92474823874603e-05,6.31075000000001e-05,0.000801856815388146
"101",1991,5,0.0027281638,0.000200415611447063,8.96285861895634e-05,0.000248848849411812
"102",1992,4,0.00333211725,0.000346068726928987,0.000173034363464494,0.000550672570694696
"103",1993,4,0.00282162775,0.00036829156515038,0.00018414578257519,0.00058603406538999
"104",1994,1,0.002715795,NA,NA,NA
"105",1995,3,0.00362541866666667,0.000448099413864081,0.000258710317218141,0.00111314065259298
"106",1996,1,0.002760367,NA,NA,NA
"107",NA,3,NA,NA,NA,NA
