"","stdAC","stdLI","Year","Region","Samp","lat","lon"
"889",2.49e-06,5.82e-06,1974,"South","TRHS429",33.0142748,-96.7196934
"890",2.22e-06,3.35e-06,1950,"South","TRHS430",31.279227,-94.572881
"891",7.7e-07,5.14e-07,1959,"Middle","TRHS431",36.090577,-94.7294379
"892",1.01e-06,1.38e-06,1904,"North","TRHS432",41.767249,-73.2543049
"893",1.47e-06,6.23e-07,1889,"North","TRHS50",40.46883366,-79.98119461
"894",8.24e-07,1.77e-06,1902,"North","TRHS51",40.31072723,-79.4669607
"895",2.17e-06,7.97e-07,1904,"North","TRHS52",41.74492106,-77.89581407
"896",3.25e-06,2.67e-06,1923,"North","TRHS53",43.58009157,-73.03660874
"897",0,2.78e-06,1925,"North","TRHS54",41.74492106,-77.89581407
"898",7.38e-07,8.55e-07,1934,"North","TRHS55",40.00763605,-75.13394468
"899",1.94e-06,5.91e-06,1991,"South","TRHS56",29.33744189,-90.83763991
"900",7.63e-07,3.92e-06,1973,"South","TRHS57",34.78062294,-90.78206732
"901",1.03e-06,3.04e-06,1957,"South","TRHS58",34.93653484,-77.93302775
"902",2.39e-07,4.77e-07,1888,"Middle","TRHS59",35.3362263,-82.47994638
"903",0,1.33e-06,1891,"Middle","TRHS60",36.06111824,-79.12064936
"904",0,3.15e-07,1913,"Middle","TRHS61",36.06111824,-79.12064936
"905",0,1.86e-06,1927,"Middle","TRHS63",36.07947173,-79.78890427
"906",8.3e-07,5.64e-06,1979,"South","TRHS64",30.62665232,-90.40568053
"907",0,2.33e-06,1935,"North","TRHS65",41.30219372,-80.25770627
"908",2.17e-06,6.09e-07,1937,"North","TRHS66",42.99060351,-72.71379854
"909",1.95e-06,6.66e-07,1942,"North","TRHS67",40.30164138,-81.92001074
"910",1.09e-07,4.36e-07,1946,"North","TRHS68",40.65205164,-79.08754709
"911",1.71e-07,5.98e-07,1948,"North","TRHS69",40.85199078,-76.70932162
"912",1.58e-06,5.25e-07,1951,"North","TRHS70",42.03624149,-93.46504477
"913",1.98e-06,2.18e-06,1972,"North","TRHS71",40.18940076,-80.24824436
"914",8.34e-07,3.75e-06,1971,"","TRHS72",NA,NA
"915",0,5.31e-07,1937,"Middle","TRHS73",36.06111824,-79.12064936
"916",1.38e-06,4.63e-06,1940,"Middle","TRHS74",35.59329897,-77.37449655
"917",2.15e-06,6.28e-06,1941,"Middle","TRHS75",36.06111824,-79.12064936
"918",8.27e-08,0,1943,"Middle","TRHS76",36.06111824,-79.12064936
"919",0,2.99e-06,1957,"South","TRHS77",34.48356774,-82.00593404
"920",7.02e-07,6.07e-06,1956,"South","TRHS78",32.7762763,-81.14070261
"921",0,5.81e-07,1920,"South","TRHS79",34.33250695,-79.9577199
"922",1.9e-06,6.89e-06,1977,"South","TRHS80",32.41779167,-91.76348184
"923",1.8e-06,2.05e-07,1971,"","TRHS81",NA,NA
"924",3.18e-06,2.04e-06,1948,"Middle","TRHS82",39.86000279,-88.96155193
"925",2.74e-06,4.83e-06,1947,"Middle","TRHS83",37.99229269,-88.9241655
"926",7.68e-07,3.84e-07,1991,"Middle","TRHS84",37.45964862,-88.88092853
"927",1.99e-06,4.65e-06,1947,"Middle","TRHS85",39.08550549,-90.3565283
"928",1.31e-06,2.55e-06,1947,"Middle","TRHS86",39.23104593,-89.47884855
"929",1.75e-06,3.1e-06,1949,"Middle","TRHS87",38.71994802,-87.72672984
"930",1.89e-06,6.61e-06,1983,"South","TRHS88",32.8318885,-92.37480557
"931",1.8e-06,6.93e-07,1838,"North","TRHS89",42.60291744,-83.91152775
"932",1.7e-07,1.02e-06,1839,"South","TRHS90",30.68515162,-88.19752335
"933",1.97e-06,4.54e-07,1863,"North","TRHS91",42.25322535,-83.83877051
"934",1.88e-06,4.71e-07,1898,"North","TRHS92",43.99606769,-86.54509227
"935",3.89e-07,0,1879,"","TRHS93",NA,NA
"936",1.17e-06,3.67e-06,1923,"North","TRHS94",45.47294043,-84.49206442
"937",1.8e-06,3.32e-06,1987,"North","TRHS95",41.88776749,-84.5929278
"938",3.58e-07,1.86e-06,1977,"South","TRHS96",30.1290721,-91.60829751
"939",8.02e-07,1.78e-07,1947,"North","TRHS97",41.46732857,-90.5674126
"940",1.57e-06,9.12e-07,1994,"Middle","TRHS98",37.19159336,-89.33760412
"941",1.75e-06,5.37e-07,1982,"North","TRHS99",41.40414593,-89.52865576
"942",5.91e-07,2.6e-06,1975,"","USMS_000010705",NA,NA
"943",1.42e-06,3.8e-06,1997,"","USMS_000010708",NA,NA
"945",0,0,1912,"Middle","WVA_105307",39.63028389,-80.04654416
"946",0,8.74e-07,1961,"Middle","WVA_56235",38.89782642,-80.23342321
"947",0,3.46e-07,1934,"Middle","WVA_56236",39.28352969,-80.37987499
"948",5.05e-07,2.27e-06,1947,"","WVA_56250",NA,NA
