"","stdAC","stdLI","Year","Region","Samp","lat","lon"
"573",7.36e-07,5.98e-07,1975,"South","TRH4_72",30.62665232,-90.40568053
"574",1.02e-06,2.77e-06,1975,"South","TRH4_73",30.29053336,-92.41197912
"575",0,4.37e-07,1973,"South","TRH4_74",30.40784295,-89.95463322
"576",1.1e-06,3.15e-07,1966,"South","TRH4_75",30.40784295,-89.95463322
"577",7.99e-07,1.92e-06,1975,"South","TRH4_76",29.67745858,-90.0977654
"578",2.08e-06,1.64e-06,1975,"South","TRH4_77",32.58019418,-93.88239685
"581",9.95e-07,2.7e-06,1902,"","TRH4_7",NA,NA
"582",3.45e-06,3.35e-07,1975,"South","TRH4_80",30.2292239,-93.35794516
"583",0,2.61e-07,1975,"South","TRH4_81",29.50033224,-90.40259453
"584",0,9.37e-07,1960,"South","TRH4_82",29.67745858,-90.0977654
"586",0,3.92e-07,1938,"North","TRH4_84",44.00566177,-72.37682161
"587",6.67e-08,1.53e-06,1970,"South","TRH4_8",32.67893103,-93.60504592
"588",0,5.19e-07,1897,"North","TRH4_9",40.140089,-88.19917067
"589",9.72e-07,4.95e-06,1947,"North","TRHS100",41.40414593,-89.52865576
"590",0,7.7e-08,1949,"Middle","TRHS101",39.98790526,-91.18849214
"591",4.53e-07,6.79e-07,1882,"","TRHS102",NA,NA
"592",1.32e-06,3.4e-07,1979,"Middle","TRHS103",38.82971226,-89.90499843
"593",2.51e-06,2.97e-06,1931,"South","TRHS104",30.0686437,-89.92812792
"594",0,4.04e-07,1854,"North","TRHS105",42.37067661,-73.20641229
"595",5.79e-07,1.84e-06,1992,"North","TRHS106",44.68361117,-84.61033711
"597",7.35e-08,1.03e-06,1916,"North","TRHS109",42.28474548,-83.26113287
"598",6.98e-07,5.19e-06,1914,"North","TRHS110",42.93112197,-82.66436772
"599",2.66e-06,1.97e-07,1926,"North","TRHS111",47.7152823,-88.25215081
"600",2.15e-06,4.95e-06,1978,"South","TRHS112",31.19862028,-92.53319963
"601",8.49e-07,6.6e-07,1939,"North","TRHS113",40.5672969,-74.91224777
"602",1.37e-06,5.2e-07,1934,"North","TRHS114",40.5672969,-74.91224777
"603",2.06e-06,1.55e-06,1951,"North","TRHS115",40.28343742,-74.70175241
"604",2.37e-06,4.3e-07,1932,"North","TRHS116",40.28751735,-74.15820239
"605",1.22e-06,3.24e-07,1883,"Middle","TRHS117",39.8777173,-74.66806741
"606",2.27e-06,2.27e-07,1903,"Middle","TRHS118",39.80353924,-74.95975436
"607",9.05e-07,1.81e-07,1892,"Middle","TRHS119",39.80353924,-74.95975436
"608",1.5e-06,4.56e-06,1975,"South","TRHS120",32.39681418,-81.74317814
"609",8.56e-08,2.4e-06,1969,"South","TRHS121",33.79553898,-90.88040091
"610",9.1e-07,4.36e-06,1988,"South","TRHS122",33.65566661,-88.78157617
"612",1.36e-06,6.73e-06,1966,"","TRHS124",NA,NA
"613",8.21e-07,3.19e-07,1947,"Middle","TRHS126",39.97354672,-90.24737505
"614",1.2e-06,3.27e-07,1988,"North","TRHS127",42.04256636,-89.32072666
"615",2.97e-07,4.98e-06,1967,"South","TRHS128",32.47831315,-92.15487013
"616",1.17e-06,1.05e-06,1954,"North","TRHS129",40.28751735,-74.15820239
"617",1.11e-06,2.04e-06,1927,"Middle","TRHS130",39.80353924,-74.95975436
"618",1.32e-06,4.26e-06,1914,"North","TRHS131",41.13929693,-74.69080068
"619",0,2.9e-07,1921,"Middle","TRHS132",39.80353924,-74.95975436
"620",2.23e-06,4.62e-07,1946,"Middle","TRHS133",39.8777173,-74.66806741
"621",1.42e-06,3.69e-06,1952,"North","TRHS134",42.03624149,-93.46504477
"622",2.05e-06,3.16e-07,1936,"North","TRHS135",47.58986137,-92.46146571
"623",1.36e-06,7.77e-07,1971,"South","TRHS136",32.36440099,-91.2425797
"624",1.38e-06,2.2e-06,1964,"South","TRHS137",34.35675781,-89.48491927
"625",0,2.83e-07,1976,"South","TRHS138",34.35675781,-89.48491927
"626",2.08e-06,3.53e-06,1903,"South","TRHS139",30.46341479,-91.31274667
"627",1.09e-06,4.31e-06,1975,"South","TRHS140",33.2836981,-90.94745464
"629",0,1.75e-07,1947,"Middle","TRHS142",39.54583175,-89.27725431
"630",0,5.23e-07,1984,"Middle","TRHS143",37.73025292,-88.92992445
"631",2.59e-06,2.78e-06,1990,"South","TRHS144",30.44013624,-90.72790744
"632",1.07e-06,4.19e-06,1939,"North","TRHS145",41.34400278,-88.88593793
"633",2.64e-06,8.79e-07,1949,"North","TRHS146",40.47277996,-90.20748188
"634",1.15e-06,5.4e-06,1950,"","TRHS147",NA,NA
"635",2.22e-06,1.93e-07,1948,"Middle","TRHS148",39.76945477,-88.2173347
"636",0,1.22e-06,1972,"Middle","TRHS149",39.86000279,-88.96155193
"637",9.6e-07,1.44e-06,1941,"Middle","TRHS150",37.47127162,-89.2551274
"638",2.05e-06,8.88e-07,1991,"North","TRHS151",40.59716517,-88.22327385
"639",2.42e-06,5.76e-06,1974,"South","TRHS152",29.90472573,-89.30412736
"640",0,1.7e-06,1934,"North","TRHS153",43.01821454,-88.30450827
"641",1.02e-06,2.54e-07,1914,"North","TRHS154",43.64685671,-84.38810911
"642",0,2.41e-07,1940,"Middle","TRHS156",35.2021509,-87.03477737
"643",1e-07,6.01e-07,1939,"Middle","TRHS158",39.56242025,-75.94810697
"644",0,2.51e-06,1870,"North","TRHS159",42.45201868,-76.47365413
"645",1.64e-06,3.44e-06,1957,"South","TRHS160",30.12646024,-90.47088359
"646",0,1.02e-06,1981,"Middle","TRHS161",38.0837368,-89.36702108
"647",0,7.81e-07,1985,"Middle","TRHS162",37.4127562,-88.56162011
"648",0,3.5e-07,1930,"Middle","TRHS163",37.22298043,-89.12659525
"649",1.09e-06,2.93e-06,1964,"Middle","TRHS165",38.47032103,-89.92839902
"650",1.27e-06,5.28e-07,1958,"Middle","TRHS166",38.47032103,-89.92839902
"651",1.49e-06,6.95e-07,1957,"Middle","TRHS167",38.47032103,-89.92839902
"652",2.15e-06,2.47e-06,1933,"South","TRHS168",30.0686437,-89.92812792
"653",7.46e-07,4.56e-06,1956,"South","TRHS171",33.26606363,-81.43502277
"654",2.05e-06,8.89e-07,1957,"South","TRHS172",33.214771,-81.05423377
"655",1.65e-06,4.23e-06,1964,"South","TRHS173",29.80938932,-92.30428295
"656",0,9.76e-07,1973,"Middle","TRHS174",36.4344247,-81.5005212
"657",1.29e-06,6.45e-07,1978,"Middle","TRHS175",36.23110628,-81.69642507
"658",3.05e-06,5.39e-06,1972,"South","TRHS176",29.90552827,-90.35822047
"662",0,3.45e-06,1994,"North","TRHS180",40.65205164,-79.08754709
"663",3.19e-06,1.03e-06,1993,"North","TRHS181",40.65205164,-79.08754709
"664",5.78e-07,3.93e-06,1980,"Middle","TRHS182",37.78510652,-89.38207594
"665",0,1.83e-06,1977,"North","TRHS183",42.34015297,-72.66378449
"666",3.19e-06,4.14e-06,1975,"South","TRHS184",30.0686437,-89.92812792
"667",2.04e-06,2.47e-06,1974,"Middle","TRHS185",35.84785522,-84.52324218
"668",0,4.54e-07,1906,"North","TRHS186",46.66287797,-87.5735241
"669",1.25e-06,7.33e-08,1896,"North","TRHS187",42.93112197,-82.66436772
"670",3.36e-06,2.34e-06,1930,"North","TRHS188",47.7152823,-88.25215081
"671",0,5.68e-07,1984,"North","TRHS189",44.64458747,-86.3006262
"672",2.63e-06,4.96e-07,1958,"North","TRHS190",42.6727951,-82.91017526
"673",0,1.22e-06,1892,"North","TRHS191",42.93112197,-82.66436772
"674",1.89e-06,4.36e-06,1976,"South","TRHS192",30.0686437,-89.92812792
"675",0,3.72e-07,1955,"North","TRHS193",41.34338187,-77.06450625
"676",0,2e-06,1961,"North","TRHS194",41.33198752,-75.03382898
"677",0,6.52e-07,1958,"North","TRHS195",41.34338187,-77.06450625
"678",9.66e-07,6.04e-07,1949,"Middle","TRHS196",39.91995828,-76.72651407
"679",0,5.82e-07,1906,"North","TRHS197",40.21082611,-75.36729364
"680",2.13e-06,5.18e-07,1928,"North","TRHS198",40.33694829,-75.10687343
"681",4e-07,5.33e-07,1954,"North","TRHS199",40.36723146,-76.45771276
"682",2.3e-06,4.56e-06,1981,"South","TRHS200",29.67745858,-90.0977654
"683",1.36e-06,6.35e-07,1934,"North","TRHS201",40.00763605,-75.13394468
"684",4.43e-07,4.8e-07,1960,"North","TRHS202",40.41629566,-75.9259989
"685",0,6.93e-07,1957,"North","TRHS203",40.91818292,-75.70882161
"686",3e-06,6.54e-07,1968,"Middle","TRHS204",39.91680741,-75.39889981
"687",2.59e-07,2.59e-07,1946,"North","TRHS205",41.43678632,-75.60919565
"688",1.82e-06,2.77e-06,1922,"North","TRHS206",40.6127008,-75.59236948
"689",1.38e-06,3.67e-06,1982,"South","TRHS207",30.87977273,-91.42002868
"690",1.83e-06,4.95e-06,1967,"South","TRHS208",30.0686437,-89.92812792
"691",1.66e-06,8.45e-07,1990,"","TRHS209",NA,NA
"692",1.2e-06,4.27e-07,1990,"Middle","TRHS210",36.06111824,-79.12064936
"693",1.92e-06,4.42e-06,1982,"South","TRHS211",34.18155534,-77.86559757
"694",1.33e-06,1.5e-06,1970,"Middle","TRHS212",35.33246694,-79.90547908
"695",2.1e-06,5.16e-07,1946,"Middle","TRHS213",35.15046721,-83.42217671
"696",0,9.06e-07,1968,"Middle","TRHS214",36.13061955,-80.25630002
"697",2.08e-06,4.88e-06,1961,"Middle","TRHS215",36.03602992,-78.87659269
"698",2.03e-06,6.1e-06,1975,"South","TRHS216",29.75649985,-91.76305555
"699",0,5.92e-07,1973,"Middle","TRHS217",36.20627576,-81.16338566
"700",0,2.73e-06,1983,"Middle","TRHS219",38.69562765,-84.36027218
"701",9e-07,2.93e-06,1966,"Middle","TRHS220",37.20970327,-88.35381378
"702",9.45e-07,2.58e-07,1962,"Middle","TRHS221",38.44846804,-85.11892997
"703",1.02e-06,1.23e-06,1971,"Middle","TRHS222",38.99415716,-76.56759706
"704",1.97e-06,5.83e-06,1955,"Middle","TRHS223",35.7103417,-79.80600691
"705",8.61e-07,5.13e-06,1971,"South","TRHS224",29.90552827,-90.35822047
"706",1.11e-06,1.66e-06,1963,"North","TRHS225",40.91934578,-77.81996016
"707",1.43e-06,6.71e-07,1899,"North","TRHS226",40.6127008,-75.59236948
"708",9.49e-07,2.59e-07,1950,"North","TRHS228",41.80774761,-78.56902513
"709",2.62e-06,6.54e-07,1939,"North","TRHS229",40.91818292,-75.70882161
"710",9.92e-07,1.8e-07,1962,"North","TRHS231",40.00655527,-78.49031712
"711",1.81e-06,4.64e-06,1987,"South","TRHS232",30.53823959,-91.09561662
"712",2.16e-06,4.19e-06,1957,"North","TRHS233",41.64873075,-75.30325771
"713",0,7.29e-07,1945,"North","TRHS234",41.64873075,-75.30325771
"714",3.27e-06,2.85e-06,1952,"Middle","TRHS235",39.91995828,-76.72651407
"715",9.98e-07,2.66e-06,1954,"North","TRHS236",41.82132575,-75.8006829
"716",1.11e-06,1.39e-07,1918,"North","TRHS237",41.44615912,-76.51214129
"717",0,3.1e-06,1959,"North","TRHS238",40.41544054,-76.7794747
"718",2.39e-06,2.89e-07,1951,"North","TRHS239",41.17700981,-75.98902608
"719",6.01e-07,5.07e-06,1987,"South","TRHS240",29.67745858,-90.0977654
"720",1.53e-06,4.82e-07,1970,"South","TRHS241",33.78194518,-82.74322675
"722",1.48e-06,1.05e-06,1948,"South","TRHS243",34.23766209,-84.84033848
"723",1.86e-06,4e-06,1967,"South","TRHS244",30.71008961,-82.89393519
"726",1.31e-06,4.62e-06,1936,"South","TRHS247",34.26316269,-85.21427865
"727",0,6.24e-07,1977,"South","TRHS248",34.64639057,-83.74710823
"729",8.08e-07,3.37e-06,1987,"South","TRHS250",33.01389725,-83.91868214
"730",4.62e-07,5.08e-06,1967,"South","TRHS251",31.71638475,-83.62409298
"731",1.58e-06,3.31e-06,1958,"South","TRHS252",31.97395112,-81.09397031
"735",9.3e-07,9.3e-07,1956,"","TRHS257",NA,NA
"736",0,4.74e-07,1974,"Middle","TRHS259",39.34383519,-91.17136321
"737",0,6.14e-07,1989,"Middle","TRHS260",37.31730701,-91.96505468
"738",7.42e-07,3.34e-06,1988,"","TRHS261",NA,NA
"739",1.6e-06,2.65e-06,1924,"Middle","TRHS262",38.2610713,-90.5376891
"740",0,3.2e-06,1992,"","TRHS263",NA,NA
"741",6.59e-07,2.82e-07,1987,"Middle","TRHS264",38.29484905,-93.2879465
"742",0,3.86e-07,1972,"Middle","TRHS265",38.29484905,-93.2879465
"743",1.52e-06,5.95e-07,1968,"Middle","TRHS266",39.06558843,-93.78554266
"744",3.06e-07,2.04e-07,1966,"Middle","TRHS267",38.29484905,-93.2879465
"745",7.4e-07,2.59e-06,1965,"Middle","TRHS268",39.31052075,-94.42086529
"746",1.3e-06,4.77e-07,1974,"Middle","TRHS269",39.34383519,-91.17136321
"747",8.19e-07,1.05e-06,1983,"Middle","TRHS270",39.42698148,-93.50517578
"748",9.57e-07,1.48e-06,1986,"Middle","TRHS271",38.2610713,-90.5376891
"749",7.69e-07,4.89e-07,1986,"Middle","TRHS272",37.4780955,-90.34502616
"750",4.39e-07,5.12e-07,1986,"Middle","TRHS273",38.46036508,-91.86183796
"751",0,5.07e-07,1989,"","TRHS274",NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA
"754",1.78e-06,7.12e-07,1985,"Middle","TRHS277",38.03717801,-93.77597576
"755",1.39e-07,2.08e-07,1970,"Middle","TRHS278",38.2610713,-90.5376891
"756",1.76e-06,1.76e-06,1895,"","TRHS280",NA,NA
"757",0,2.45e-07,1885,"Middle","TRHS281",38.2610713,-90.5376891
"758",1.22e-06,2.9e-06,1919,"","TRHS283",NA,NA
"759",0,2.49e-07,1913,"Middle","TRHS284",39.34383519,-91.17136321
"760",6.83e-08,0,1965,"Middle","TRHS285",39.00847567,-94.34610078
"761",0,6.18e-07,1914,"Middle","TRHS286",37.60663017,-91.50788266
"NA.5",NA,NA,NA,NA,NA,NA,NA
"763",1.12e-06,3.12e-07,1966,"North","TRHS289",43.51796897,-71.42269361
"764",7.36e-08,2.94e-07,1982,"North","TRHS290",42.98459793,-71.08905934
"765",0,5.82e-07,1982,"North","TRHS291",42.98459793,-71.08905934
"766",2.02e-06,3.1e-07,1889,"North","TRHS292",43.94066632,-71.82071979
"767",1.07e-06,8.57e-07,1887,"North","TRHS293",43.94066632,-71.82071979
"768",0,1.92e-06,1985,"North","TRHS294",43.94066632,-71.82071979
"769",2.95e-06,1.18e-06,1898,"North","TRHS297",43.94066632,-71.82071979
"770",2.42e-06,7.37e-07,1956,"North","TRHS298",43.29699417,-71.02880202
"771",0,2.27e-07,1993,"North","TRHS299",43.87384594,-71.20299392
"772",3.25e-06,8.13e-07,1875,"North","TRHS300",44.68949562,-71.30553334
"774",0,3.8e-07,1939,"North","TRHS302",46.65881813,-68.59887855
"776",1.82e-06,5.47e-07,1972,"North","TRHS304",43.4292262,-70.67014607
"778",4.91e-07,1.47e-06,1894,"North","TRHS307",43.80608211,-70.33020063
"779",2.44e-06,1.96e-07,1967,"North","TRHS309",44.02729874,-69.01554749
"780",1.5e-06,1.67e-07,1977,"North","TRHS310",44.56288676,-68.36820797
"781",3.04e-06,1.06e-06,1967,"North","TRHS312",43.99778733,-69.52575926
"782",1.46e-06,3.97e-07,1968,"North","TRHS313",44.02729874,-69.01554749
"783",0,7.5e-07,1941,"North","TRHS314",43.29699417,-71.02880202
"784",2.01e-06,7.01e-07,1897,"North","TRHS316",45.40051232,-68.64942813
"785",2.04e-06,2.16e-06,1894,"North","TRHS317",45.40051232,-68.64942813
"NA.6",NA,NA,NA,NA,NA,NA,NA
"788",1.51e-06,7.13e-07,1980,"North","TRHS322",43.3612747,-72.22222936
"792",2.21e-06,2.43e-06,1995,"North","TRHS326",41.34882429,-72.89985769
"795",1.49e-06,9.94e-07,1892,"North","TRHS329",42.98459793,-71.08905934
"796",0,6.73e-07,1966,"North","TRHS331",43.29699417,-71.02880202
"797",1.28e-06,5.38e-07,1930,"North","TRHS332",43.29699417,-71.02880202
"799",3.34e-06,2.94e-07,1927,"North","TRHS335",43.29699417,-71.02880202
"800",2.47e-06,6.98e-06,1990,"","TRHS337",NA,NA
"801",1.53e-06,4.65e-06,1984,"","TRHS338",NA,NA
"802",2.28e-06,4.18e-06,1987,"South","TRHS339",30.37588,-91.168632
"803",1.24e-06,5.27e-06,1993,"","TRHS340",NA,NA
"804",2.38e-06,1.32e-06,1971,"South","TRHS341",32.602028,-93.883072
"805",2.04e-06,5.05e-06,1989,"South","TRHS342",30.20369,-91.02449
"806",7.26e-07,3.84e-06,1981,"South","TRHS343",30.650251,-92.829664
"807",2.79e-06,6.28e-06,1987,"South","TRHS344",30.246912,-92.638819
"808",1.03e-06,4.04e-06,1933,"South","TRHS345",30.219167,-92.372255
"812",6.09e-07,6.09e-06,1996,"South","TRHS349",30.785919,-89.89005
"813",9.84e-07,2.13e-06,1962,"South","TRHS350",32.870409,-92.502957
"814",1.36e-06,2.21e-06,1941,"South","TRHS351",29.586868,-90.707441
"815",1.31e-06,4.46e-06,1933,"South","TRHS352",29.586481,-90.710909
"816",1.45e-06,4.91e-06,1969,"South","TRHS353",30.522847,-90.348329
"817",2.11e-06,1.07e-06,1949,"South","TRHS354",30.369294,-89.747499
"818",1.22e-06,3.31e-06,1949,"South","TRHS355",29.932361,-90.121722
"820",1.49e-06,5.3e-06,1976,"South","TRHS357",29.317538,-91.284992
"NA.7",NA,NA,NA,NA,NA,NA,NA
"822",1.83e-06,4.38e-06,1971,"South","TRHS359",30.919754,-90.680309
"823",2.29e-06,4.47e-06,1973,"South","TRHS360",30.003554,-90.441461
"825",1.85e-06,5.82e-06,1990,"","TRHS362",NA,NA
"826",1.85e-06,6.82e-07,1966,"South","TRHS363",30.211056,-92.019554
"827",2.99e-07,1.99e-07,1931,"South","TRHS364",29.239919,-89.988715
"828",4.93e-07,1.15e-06,1876,"","TRHS366",NA,NA
"829",1.71e-06,5.57e-06,1949,"","TRHS367",NA,NA
"830",2.52e-06,5.04e-06,1965,"","TRHS368",NA,NA
"831",3.86e-07,6.18e-07,1965,"","TRHS369",NA,NA
"832",2.13e-07,5.91e-06,1898,"","TRHS371",NA,NA
"833",3.19e-07,4.15e-06,1991,"North","TRHS372",44.307945,-96.79856
"834",1.2e-07,2.4e-07,1991,"North","TRHS373",43.7458333,-102.7118514
"835",0,5.2e-07,1991,"North","TRHS374",44.53807777,-102.7118514
"837",1.89e-06,1.66e-06,1939,"North","TRHS376",44.3715,-103.98
"838",8.16e-08,4.08e-07,1959,"North","TRHS377",49.05,-93.58333333
"840",1.68e-07,7.57e-07,1962,"North","TRHS379",44.317837,-96.78976
"841",0,8.41e-07,1972,"North","TRHS380",48.0458,-90.5876
