"","Samp","PC_LD1","PC_LD2","Country","Year","TimeBin","Region","H_C"
"71","Paris_15_8",-0.002192232,0.004822772,"France",2018,"Contemp","","C"
"72","Paris_15_9",-0.009945024,0.002635582,"France",2018,"Contemp","","C"
"73","Paris_2_2",-0.013417147,-0.001728563,"France",2018,"Contemp","","C"
"74","Paris_23_19",-0.011031634,-0.001542858,"France",2018,"Contemp","","C"
"75","Paris_25_13",-0.013251761,-0.004755126,"France",2018,"Contemp","","C"
"76","Paris_25_2",0.005937446,0.00195001,"France",2018,"Contemp","","C"
"77","Paris_2_9",-0.018887904,-0.002699799,"France",2018,"Contemp","","C"
"78","Paris_3_3",-0.008897523,-0.00923167,"France",2018,"Contemp","","C"
"79","Paris_39_15",-0.000942626,-0.002271261,"France",2018,"Contemp","","C"
"80","Paris_39_19",-0.008511343,0.001678342,"France",2018,"Contemp","","C"
"81","Paris_39_1",-0.009349439,0.008782397,"France",2018,"Contemp","","C"
"82","Paris_39_2",-0.007967121,0.002117496,"France",2018,"Contemp","","C"
"83","Paris_39_5",-0.002403336,-0.000955774,"France",2018,"Contemp","","C"
"84","Paris_6_1",-0.013892777,0.001656238,"France",2018,"Contemp","","C"
"85","Paris_6_4",-0.013646069,-0.001556219,"France",2018,"Contemp","","C"
"86","Paris_8_10",-0.007997759,0.004014027,"France",2018,"Contemp","","C"
"87","Paris_8_8",-0.009827153,0.00617346,"France",2018,"Contemp","","C"
"88","Landshut_1_11",-0.03520363,0.002829736,"Germany",2018,"Contemp","","C"
"89","Landshut_1_14",-0.037159646,0.015906062,"Germany",2018,"Contemp","","C"
"90","Landshut_1_15",-0.04395603,-0.003598276,"Germany",2018,"Contemp","","C"
"91","Landshut_1_18",-0.038824371,-0.002898053,"Germany",2018,"Contemp","","C"
"92","Landshut_1_1",-0.036634267,0.004152734,"Germany",2018,"Contemp","","C"
"93","Landshut_1_4",-0.039447253,0.000110206,"Germany",2018,"Contemp","","C"
"94","Landshut_1_5",-0.023207259,0.018752685,"Germany",2018,"Contemp","","C"
"95","Landshut_1_7",-0.045863146,0.003411399,"Germany",2018,"Contemp","","C"
"96","Landshut_1_8",-0.033461018,-0.00066331,"Germany",2018,"Contemp","","C"
"97","Landshut_1_9",-0.04289321,0.002009334,"Germany",2018,"Contemp","","C"
"98","Landshut_2_12",-0.050651318,0.001991029,"Germany",2018,"Contemp","","C"
"99","Landshut_2_17",-0.051854543,0.000335035,"Germany",2018,"Contemp","","C"
"100","Landshut_2_19",-0.039966454,0.000683278,"Germany",2018,"Contemp","","C"
"101","Landshut_2_20",-0.040253949,-9.85e-05,"Germany",2018,"Contemp","","C"
"102","Landshut_2_2",-0.055166942,-0.005855909,"Germany",2018,"Contemp","","C"
"103","Landshut_2_6",-0.051777948,-0.012306168,"Germany",2018,"Contemp","","C"
"104","Landshut_2_7",-0.048742044,0.00038337,"Germany",2018,"Contemp","","C"
"105","Landshut_2_8",-0.045788364,-0.003150837,"Germany",2018,"Contemp","","C"
"106","Landshut_3_11",-0.036961736,0.000575195,"Germany",2018,"Contemp","","C"
"107","Landshut_3_16",-0.011398063,-0.005965249,"Germany",2018,"Contemp","","C"
"108","Landshut_3_18",-0.025100809,-0.002852047,"Germany",2018,"Contemp","","C"
"109","Landshut_3_20",-0.014431427,-0.003628557,"Germany",2018,"Contemp","","C"
"110","Landshut_3_2",-0.033848698,1.45e-05,"Germany",2018,"Contemp","","C"
"111","Landshut_3_3",-0.047442416,0.002813353,"Germany",2018,"Contemp","","C"
"112","Landshut_3_5",-0.024784649,-0.002957474,"Germany",2018,"Contemp","","C"
"113","Landshut_3_8",-0.05042045,-0.005411222,"Germany",2018,"Contemp","","C"
"114","Landshut_4_10",-0.031389345,0.010380641,"Germany",2018,"Contemp","","C"
"115","Landshut_4_11",-0.051243813,-0.00316946,"Germany",2018,"Contemp","","C"
"116","Landshut_4_12",-0.030311931,0.009744327,"Germany",2018,"Contemp","","C"
"117","Landshut_4_13",-0.056592291,0.001688422,"Germany",2018,"Contemp","","C"
"118","Landshut_4_4",-0.046587193,-0.00153253,"Germany",2018,"Contemp","","C"
"119","Landshut_4_5",-0.044730614,-0.003009007,"Germany",2018,"Contemp","","C"
"120","Landshut_4_6",-0.047496599,0.00342103,"Germany",2018,"Contemp","","C"
"121","Landshut_47_10",-0.016059324,0.016839522,"Germany",2018,"Contemp","","C"
"122","Landshut_47_14",-0.028312707,0.005810754,"Germany",2018,"Contemp","","C"
"123","Landshut_47_17",-0.026982094,-0.002610937,"Germany",2018,"Contemp","","C"
"124","Landshut_47_19",-0.027872138,-0.004985451,"Germany",2018,"Contemp","","C"
"125","Landshut_47_1",-0.027042534,0.006020646,"Germany",2018,"Contemp","","C"
"126","Landshut_47_20",-0.040748395,3.7e-05,"Germany",2018,"Contemp","","C"
"127","Landshut_47_2",-0.02900701,0.018079485,"Germany",2018,"Contemp","","C"
"128","Landshut_47_7",-0.019175486,0.015069849,"Germany",2018,"Contemp","","C"
"129","Landshut_4_7",-0.038631442,0.006553309,"Germany",2018,"Contemp","","C"
"130","Landshut_48_3",-0.054741135,-0.006254951,"Germany",2018,"Contemp","","C"
"131","Landshut_48_4",-0.044530105,-0.002450627,"Germany",2018,"Contemp","","C"
"132","Landshut_48_6",-0.030965039,-0.007194247,"Germany",2018,"Contemp","","C"
"133","Landshut_48_8",-0.047028995,-0.009459748,"Germany",2018,"Contemp","","C"
"134","Landshut_48_9",-0.050248625,-0.000676328,"Germany",2018,"Contemp","","C"
"135","Landshut_49_11",-0.049555054,-0.00598436,"Germany",2018,"Contemp","","C"
"136","Landshut_49_15",-0.043850151,-0.002209331,"Germany",2018,"Contemp","","C"
"137","Landshut_49_19",-0.046421924,0.002046986,"Germany",2018,"Contemp","","C"
"138","Landshut_49_2",-0.049653693,-0.002097389,"Germany",2018,"Contemp","","C"
"139","Landshut_49_8",-0.049827775,-0.003760733,"Germany",2018,"Contemp","","C"
"140","Landshut_4_9",-0.034757524,0.01065654,"Germany",2018,"Contemp","","C"
"141","Landshut_50_13",-0.027151316,0.025988037,"Germany",2018,"Contemp","","C"
"142","Landshut_50_14",-0.025025779,0.00574418,"Germany",2018,"Contemp","","C"
"143","Landshut_50_16",-0.052989555,-0.008004173,"Germany",2018,"Contemp","","C"
"144","Landshut_50_20",-0.044013913,-0.000825567,"Germany",2018,"Contemp","","C"
"145","Landshut_50_2",-0.043540165,-0.002060039,"Germany",2018,"Contemp","","C"
"146","Landshut_50_5",-0.046052889,0.001889366,"Germany",2018,"Contemp","","C"
"147","Landshut_50_6",-0.038723219,0.011138179,"Germany",2018,"Contemp","","C"
"148","Landshut_50_8",-0.03442632,0.011804684,"Germany",2018,"Contemp","","C"
"149","Landshut_50_9",-0.029008491,0.029398239,"Germany",2018,"Contemp","","C"
"150","Landshut_51_10",-0.036837219,0.011422096,"Germany",2018,"Contemp","","C"
"151","Landshut_51_13",-0.03974142,0.012909139,"Germany",2018,"Contemp","","C"
"152","Landshut_51_14",-0.022601669,0.020820588,"Germany",2018,"Contemp","","C"
"153","Landshut_51_15",-0.037849347,0.006882913,"Germany",2018,"Contemp","","C"
"154","Landshut_51_16",-0.043330025,0.005963779,"Germany",2018,"Contemp","","C"
"155","Landshut_5_11",-0.051960637,0.00670573,"Germany",2018,"Contemp","","C"
"156","Landshut_5_12",-0.049946496,-0.005438634,"Germany",2018,"Contemp","","C"
"157","Landshut_51_2",-0.029839501,0.017159252,"Germany",2018,"Contemp","","C"
"158","Landshut_5_13",-0.048104018,-0.000336015,"Germany",2018,"Contemp","","C"
"159","Landshut_51_4",-0.033198073,0.019115196,"Germany",2018,"Contemp","","C"
"160","Landshut_5_14",-0.058648965,-0.010200404,"Germany",2018,"Contemp","","C"
"161","Landshut_5_15",-0.044192333,-0.000676149,"Germany",2018,"Contemp","","C"
"162","Landshut_51_6",-0.031189872,0.013876877,"Germany",2018,"Contemp","","C"
"163","Landshut_51_7",-0.030440033,0.013758994,"Germany",2018,"Contemp","","C"
"164","Landshut_51_8",-0.033982314,0.010598363,"Germany",2018,"Contemp","","C"
"165","Landshut_5_19",-0.059117764,-0.008334661,"Germany",2018,"Contemp","","C"
"166","Landshut_5_1",-0.056706671,0.003562331,"Germany",2018,"Contemp","","C"
"167","Landshut_5_20",-0.046558879,0.000857722,"Germany",2018,"Contemp","","C"
"168","Landshut_5_6",-0.056561163,-0.010522503,"Germany",2018,"Contemp","","C"
"169","Landshut_5_8",-0.060635608,-0.008681174,"Germany",2018,"Contemp","","C"
"170","Munich_1_11",-0.043425394,-0.006258993,"Germany",2018,"Contemp","","C"
"171","Munich_1_13",-0.051857301,-0.000509052,"Germany",2018,"Contemp","","C"
"172","Munich_1_18",-0.043836298,0.000995078,"Germany",2018,"Contemp","","C"
"173","Munich_1_20",-0.044170666,-0.00672208,"Germany",2018,"Contemp","","C"
"174","Munich_1_2",-0.050873119,-0.002289137,"Germany",2018,"Contemp","","C"
"175","Munich_1_3",-0.04296452,0.001712304,"Germany",2018,"Contemp","","C"
"176","Munich_1_4",-0.052249509,-0.00859645,"Germany",2018,"Contemp","","C"
"177","Munich_1_5",-0.041319458,-0.008426457,"Germany",2018,"Contemp","","C"
"178","Munich_1_6",-0.053615266,0.000910516,"Germany",2018,"Contemp","","C"
"179","Munich_2_10",-0.040421189,0.0064804,"Germany",2018,"Contemp","","C"
"180","Munich_2_11",-0.044470834,0.004096116,"Germany",2018,"Contemp","","C"
"181","Munich_2_13",-0.045216009,0.004531412,"Germany",2018,"Contemp","","C"
"182","Munich_2_15",-0.047831411,0.005453392,"Germany",2018,"Contemp","","C"
"183","Munich_2_1",-0.038575404,0.019050254,"Germany",2018,"Contemp","","C"
"184","Munich_2_5",-0.038082306,-0.007960157,"Germany",2018,"Contemp","","C"
"185","Munich_2_6",-0.040879016,0.003496379,"Germany",2018,"Contemp","","C"
"186","Munich_2_7",-0.043552488,0.00575191,"Germany",2018,"Contemp","","C"
"187","Munich_2_8",-0.048383901,0.003934411,"Germany",2018,"Contemp","","C"
"188","Munich_2_9",-0.042893771,-0.005630761,"Germany",2018,"Contemp","","C"
"189","Munich_3_14",-0.037383619,-0.00348574,"Germany",2018,"Contemp","","C"
"190","Munich_3_16",-0.030551446,0.006737554,"Germany",2018,"Contemp","","C"
"191","Munich_3_17",-0.021826029,0.01754625,"Germany",2018,"Contemp","","C"
"192","Munich_3_19",-0.025519234,0.009536816,"Germany",2018,"Contemp","","C"
"193","Munich_3_4",-0.017094159,0.011621932,"Germany",2018,"Contemp","","C"
"194","Munich_3_6",-0.039919203,-0.001755496,"Germany",2018,"Contemp","","C"
"195","Munich_3_7",-0.0293894,0.011542495,"Germany",2018,"Contemp","","C"
"196","Munich_3_9",-0.025075155,0.006419386,"Germany",2018,"Contemp","","C"
"197","Munich_4_13",-0.035610929,0.004639935,"Germany",2018,"Contemp","","C"
"198","Munich_4_15",-0.037761546,0.002212394,"Germany",2018,"Contemp","","C"
"199","Munich_4_18",-0.035858323,-0.007336432,"Germany",2018,"Contemp","","C"
"200","Munich_4_20",-0.046706817,-0.002291384,"Germany",2018,"Contemp","","C"
"201","Munich_4_2",-0.041373372,0.006659372,"Germany",2018,"Contemp","","C"
"202","Munich_4_6",-0.008909328,0.009787107,"Germany",2018,"Contemp","","C"
"203","Munich_47_11",-0.00887598,0.021264581,"Germany",2018,"Contemp","","C"
"204","Munich_47_15",-0.007408879,0.021312233,"Germany",2018,"Contemp","","C"
"205","Munich_47_16",-0.017830546,0.006908722,"Germany",2018,"Contemp","","C"
"206","Munich_47_17",-0.012446437,0.022753767,"Germany",2018,"Contemp","","C"
"207","Munich_47_18",-0.031684928,-0.003526358,"Germany",2018,"Contemp","","C"
"208","Munich_47_1",-0.021494252,0.001059791,"Germany",2018,"Contemp","","C"
"209","Munich_47_20",-0.022449632,0.002545414,"Germany",2018,"Contemp","","C"
"210","Munich_47_6",-0.018706615,0.024050999,"Germany",2018,"Contemp","","C"
"211","Munich_47_8",-0.00671245,0.021126463,"Germany",2018,"Contemp","","C"
"212","Munich_4_7",-0.037858907,0.00440071,"Germany",2018,"Contemp","","C"
"213","Munich_48_12",-0.037568578,-0.011551824,"Germany",2018,"Contemp","","C"
"214","Munich_48_13",-0.027154705,0.000953604,"Germany",2018,"Contemp","","C"
"215","Munich_48_15",-0.048492489,-0.009518719,"Germany",2018,"Contemp","","C"
