"Model","Region","Predictors","term","estimate","std.error","statistic","p.value"
"All","All","Year * lat","(Intercept)",-0.0504698319812543,0.0167213725470378,-3.01828284964533,0.00272425316671569
"All","All","Year * lat","Year",2.68561190723136e-05,8.52807925293108e-06,3.14914041905547,0.00177518494451743
"All","All","Year * lat","lat",0.00115142865070149,0.000419536444495268,2.74452593048679,0.00636521975307334
"All","All","Year * lat","Year:lat",-5.76662397260469e-07,2.14125256117099e-07,-2.69310779922715,0.00741189820783352
"North","North","Year","(Intercept)",-0.00124606213398945,0.00241556646906618,-0.515846758905854,0.60668712877892
"North","North","Year","Year",2.23302488452728e-06,1.24486260296962e-06,1.79379224598795,0.0747708858813094
"South","South","Year","(Intercept)",-0.01252635645011,0.00475917560272873,-2.63204334022216,0.00981870438521329
"South","South","Year","Year",7.83747466766139e-06,2.42179275928189e-06,3.23622846654532,0.00163829758792646
